alpha_freq,delta_freq,u_kmeans,g_kmeans,r_freq,i_kmeans,z_width,redshift_freq
0,3,5,8,26,10,3,28
0,3,9,10,34,12,3,0
11,1,12,17,50,15,4,26
11,0,11,9,20,7,2,20
2,6,11,13,22,6,1,6
2,6,12,10,22,8,2,15
11,5,9,13,48,15,4,30
3,1,14,13,35,10,3,22
6,8,13,14,44,12,3,7
6,8,10,12,46,15,5,32
3,3,10,10,28,8,2,25
7,3,5,7,19,8,3,33
6,7,6,10,25,9,3,20
3,8,5,8,26,11,3,32
4,10,8,8,16,6,2,16
10,5,8,9,24,9,3,0
5,5,6,6,15,7,2,7
2,3,12,16,50,9,2,6
6,3,14,14,35,10,3,18
5,7,12,9,16,6,2,15
0,4,10,12,35,10,3,18
11,5,11,14,46,12,3,25
1,6,7,5,6,3,1,5
5,3,13,12,46,14,4,6
9,2,6,8,28,11,3,33
1,2,14,13,30,9,3,20
1,0,8,13,32,10,3,20
4,2,8,11,33,10,3,25
3,6,11,14,37,9,3,26
3,7,7,7,12,5,2,13
4,6,13,18,48,12,3,27
3,7,9,13,39,10,3,24
3,7,7,6,10,4,1,13
0,3,5,8,20,9,3,30
0,3,7,9,28,11,3,27
9,6,1,1,1,1,1,9
0,3,12,13,37,10,3,20
1,3,12,9,16,6,2,15
7,9,7,8,22,7,3,12
0,0,10,14,45,13,4,25
10,1,10,14,49,14,4,28
10,4,8,11,21,7,2,16
11,3,6,9,31,11,3,33
6,10,8,9,26,10,3,3
10,4,13,13,34,9,3,22
11,1,9,13,47,15,4,29
1,3,12,13,35,10,3,19
10,5,7,8,21,9,3,2
3,8,9,13,35,10,3,25
10,5,12,17,46,12,3,25
10,5,9,13,43,11,3,26
4,5,2,4,10,5,2,29
5,5,3,3,5,3,1,2
0,4,9,10,18,7,2,16
11,1,7,8,15,6,2,12
10,1,5,6,14,6,2,10
11,0,12,14,44,11,3,22
4,5,3,3,4,2,1,8
4,5,2,5,13,6,2,15
8,10,7,8,13,5,2,15
8,2,15,11,22,7,2,20
8,2,9,11,21,8,2,16
0,4,10,12,32,9,3,19
0,4,10,11,22,7,2,18
1,2,9,14,50,15,4,28
5,10,8,7,13,5,2,15
5,4,3,4,7,4,1,8
0,3,9,12,48,15,4,33
10,4,8,7,12,3,1,6
4,2,10,13,39,9,3,25
4,2,4,4,7,4,1,10
3,6,13,12,21,7,2,18
3,6,4,5,11,5,2,8
5,6,13,12,27,6,2,5
7,2,14,12,26,9,3,16
8,2,5,6,8,4,1,13
0,4,12,14,34,10,3,19
10,7,1,1,1,1,1,1
9,5,12,10,20,7,2,16
11,4,14,14,38,9,3,25
6,10,5,8,28,10,3,31
4,9,12,11,30,10,3,2
11,4,10,12,30,9,3,24
11,4,13,14,40,10,3,21
11,4,15,14,37,10,3,21
5,0,8,11,42,14,4,7
11,4,9,15,47,12,3,25
1,3,3,4,4,2,1,11
3,8,9,13,40,10,3,25
2,6,4,5,8,4,1,12
3,8,3,3,1,1,0,11
2,6,13,14,39,10,3,24
3,3,9,13,37,9,2,3
0,0,15,13,35,9,3,25
0,0,7,9,17,6,2,15
11,2,9,12,46,15,5,21
7,3,3,4,9,5,2,4
5,5,6,7,22,9,3,33
2,6,5,8,25,10,3,32
10,4,7,11,32,10,3,21
0,4,5,5,8,4,1,10
0,0,12,11,32,10,3,24
11,0,9,12,31,9,3,19
11,0,9,13,27,8,3,18
6,3,5,5,6,3,1,11
6,3,13,13,30,9,3,19
10,4,8,6,11,4,2,13
10,4,10,11,29,9,3,2
10,4,13,13,38,10,3,23
10,4,9,9,17,6,2,15
11,5,7,10,26,7,2,3
1,3,6,6,8,3,1,13
10,3,10,15,39,10,3,24
1,2,10,17,50,15,5,20
9,4,5,6,17,8,3,1
9,4,5,7,17,7,3,6
5,5,9,14,49,14,4,28
0,0,11,11,26,8,2,19
10,5,8,13,33,9,3,25
3,6,9,9,16,6,2,15
11,5,8,12,31,9,3,18
9,5,2,1,0,1,0,9
10,4,3,4,6,3,1,8
9,6,5,4,5,3,1,12
5,0,6,7,22,9,3,7
6,0,0,0,0,0,0,6
9,6,2,1,1,1,1,8
9,5,7,6,11,4,1,10
0,0,3,3,2,2,1,10
6,10,5,8,26,10,3,31
6,10,7,11,45,15,4,32
11,4,8,11,32,10,3,24
11,3,8,11,41,14,4,33
10,3,9,11,24,7,2,22
0,3,14,16,40,10,3,25
11,1,5,6,15,6,2,13
9,6,11,12,33,10,3,19
9,5,2,2,3,2,1,7
8,6,3,2,1,1,1,10
8,7,5,5,9,4,1,10
11,6,3,4,11,5,2,1
3,8,9,16,45,12,3,24
11,5,11,13,32,9,3,22
3,9,13,13,31,9,3,20
3,7,9,10,20,7,2,17
10,2,9,12,48,15,4,32
7,9,12,15,45,11,3,25
0,0,7,9,35,12,3,33
5,6,9,12,32,10,3,15
3,9,6,6,16,7,2,1
9,9,5,8,22,9,3,29
2,3,6,4,4,3,1,5
3,4,12,11,42,14,4,13
1,2,12,15,49,15,4,26
1,2,10,16,50,15,4,26
1,5,2,2,2,2,1,4
7,2,13,12,28,9,3,19
0,4,13,12,30,9,3,18
11,5,7,8,29,11,3,25
11,4,3,4,11,5,2,3
7,3,7,9,36,12,3,5
1,4,8,12,45,13,3,31
5,10,3,4,9,4,2,8
5,10,3,4,10,4,2,8
8,5,4,4,6,3,1,10
10,4,7,10,38,13,4,2
1,2,11,9,15,6,2,15
3,6,12,16,46,12,3,29
4,6,7,12,45,13,3,28
4,6,8,10,47,14,5,26
3,6,5,4,7,3,1,9
5,6,4,7,18,8,3,30
5,6,13,14,40,8,2,6
5,6,4,7,26,11,4,1
1,3,9,9,16,6,2,15
11,5,15,10,18,7,2,15
9,5,5,5,7,4,1,11
11,3,9,11,43,14,4,33
11,5,6,7,12,4,1,13
10,5,1,2,3,3,1,1
2,6,9,11,28,9,3,23
10,5,12,17,48,12,3,24
11,5,14,11,24,8,2,18
3,8,11,14,47,12,3,24
0,4,4,6,15,7,2,7
7,0,4,7,19,8,3,30
8,9,9,14,34,9,3,23
2,8,10,13,36,10,3,19
4,4,10,14,49,14,4,27
6,7,10,9,18,7,2,15
3,8,11,16,47,12,3,3
4,10,9,10,20,7,2,17
4,2,8,11,32,9,3,21
9,5,7,6,11,4,1,13
8,6,9,8,14,5,2,14
4,5,5,5,8,4,1,12
4,5,4,4,6,3,1,8
11,0,10,12,42,11,3,27
11,0,9,13,49,12,4,27
1,5,13,12,29,7,2,3
9,7,6,6,9,4,1,13
8,3,8,10,42,13,4,33
11,2,6,10,36,12,4,30
0,0,7,11,33,9,3,25
0,0,4,6,16,7,2,10
11,3,14,12,38,13,4,2
5,4,9,13,34,9,3,20
4,10,14,16,49,12,3,26
11,4,12,10,19,7,2,16
11,4,8,10,24,8,3,14
0,4,10,11,33,10,3,16
4,5,4,4,10,5,2,2
9,10,5,4,6,3,1,10
4,9,11,13,30,8,3,22
0,2,8,13,47,14,4,33
0,3,8,11,38,12,3,29
8,6,1,0,0,0,0,8
11,3,9,8,14,5,2,14
0,0,4,4,4,2,1,11
6,10,7,11,39,13,4,30
2,8,14,15,42,11,3,21
4,2,10,12,29,9,3,17
3,2,8,9,19,7,2,16
2,2,12,11,21,7,2,17
3,2,13,10,23,8,2,14
3,2,14,10,20,7,2,18
11,1,0,1,0,1,0,8
9,6,10,13,37,9,3,23
9,6,5,4,3,2,1,12
8,6,2,2,0,1,0,10
3,6,13,17,48,14,5,23
6,0,7,10,39,13,4,33
10,4,9,15,37,9,3,20
10,3,10,11,21,7,2,16
7,10,13,16,50,13,3,29
1,6,4,7,21,9,3,30
11,6,3,6,15,7,2,31
2,6,3,3,2,2,1,12
3,8,9,14,41,10,3,26
3,8,13,12,34,10,3,18
3,9,3,4,6,3,1,9
1,2,9,14,46,14,4,27
1,2,9,14,49,14,4,27
3,9,10,10,20,7,2,17
2,3,3,3,4,3,1,6
2,3,4,5,12,5,2,4
3,10,5,7,21,8,3,32
3,10,6,7,20,8,3,1
0,4,4,5,9,4,1,13
5,6,10,12,33,9,3,19
2,6,7,12,40,9,3,25
0,4,7,10,29,9,3,24
8,10,8,11,31,9,3,24
9,6,8,7,13,5,2,13
11,2,7,11,40,13,4,32
11,5,3,3,6,4,1,0
11,4,9,15,49,12,3,25
7,6,7,10,24,8,2,22
5,10,3,5,10,4,2,13
1,1,5,7,20,9,3,33
11,3,2,3,6,4,2,0
3,6,11,6,9,4,1,13
3,6,12,10,25,8,2,6
3,6,10,14,50,15,5,27
2,6,12,13,36,10,3,23
11,6,11,9,19,7,2,1
11,5,12,16,48,12,3,28
11,5,9,9,17,6,2,16
3,7,9,11,36,10,3,24
11,7,8,9,33,11,3,0
0,3,15,12,22,8,2,16
0,3,14,12,32,9,3,21
10,3,15,12,30,9,3,19
1,0,9,13,43,12,4,28
9,5,8,8,13,5,2,15
6,0,6,8,26,11,3,33
11,4,11,11,30,9,3,5
11,1,11,14,45,13,3,27
10,4,10,16,46,10,3,25
11,3,15,8,14,5,2,14
1,3,13,11,21,7,2,16
1,3,12,9,17,6,2,16
10,1,5,7,15,6,2,12
9,5,2,2,2,2,1,9
4,2,3,3,5,3,1,9
9,9,9,13,49,15,5,31
2,8,7,6,10,4,1,13
6,3,5,4,6,3,1,11
6,3,5,4,6,3,1,10
5,7,10,10,19,7,2,17
5,7,11,12,32,9,3,22
5,7,13,14,45,11,3,24
4,5,9,14,48,15,4,28
11,0,9,10,20,7,2,14
11,2,6,10,31,12,4,30
0,4,3,3,3,2,1,9
0,4,8,8,15,6,2,14
3,2,4,4,4,3,1,13
11,4,8,11,38,12,4,26
8,8,1,1,1,2,1,1
9,4,6,9,30,11,3,29
0,2,7,10,33,12,3,32
0,2,9,13,49,15,4,31
0,2,6,9,37,12,3,32
8,3,12,15,48,7,2,3
5,10,2,2,1,1,0,8
3,5,10,17,50,14,4,31
10,8,5,5,12,6,2,2
4,9,14,13,35,10,3,21
4,10,6,6,9,4,1,13
3,6,8,14,48,12,3,27
11,5,11,11,22,7,2,19
8,6,2,1,0,0,0,9
11,7,13,9,24,9,3,2
10,3,4,3,2,1,1,11
0,3,13,16,42,11,3,27
10,3,4,3,2,2,1,10
11,4,11,13,34,9,3,24
11,1,13,15,49,13,4,31
1,3,8,10,18,7,2,15
0,3,9,12,44,14,4,3
0,3,9,11,42,13,4,32
3,2,8,12,32,10,3,20
2,6,15,12,33,10,3,5
11,5,8,9,18,6,2,15
5,2,8,12,27,8,2,23
6,3,6,7,12,5,2,13
5,3,4,3,2,2,1,11
6,3,5,5,8,4,1,11
5,6,9,12,31,9,3,19
3,9,7,9,33,11,3,33
3,9,10,10,21,7,2,6
4,4,10,13,45,13,4,28
4,4,10,13,35,10,3,23
5,5,5,7,17,8,3,3
3,2,8,10,20,7,2,16
11,1,12,4,6,5,2,8
10,1,4,4,7,3,1,10
9,6,11,11,21,8,2,15
9,6,6,6,10,4,1,12
11,4,9,15,50,12,3,27
4,5,13,13,35,8,2,3
4,5,10,12,47,14,4,27
1,2,9,15,45,12,3,28
1,7,3,4,7,4,1,2
4,9,5,5,6,3,1,13
2,6,10,12,35,10,3,15
0,6,10,10,23,8,3,13
10,5,11,13,32,10,3,18
0,0,12,17,50,14,5,30
1,0,9,9,20,7,2,21
4,10,13,15,50,14,3,29
4,9,4,4,5,3,1,9
5,10,11,12,25,8,3,18
5,10,5,5,8,4,1,10
5,10,8,7,13,5,2,14
7,10,9,15,44,11,3,25
6,10,6,5,9,4,1,13
5,3,13,14,35,10,3,21
4,6,13,14,50,14,4,29
3,7,12,16,44,12,3,22
5,5,9,10,38,13,4,1
11,3,11,11,36,10,3,21
11,3,12,10,20,7,2,17
1,3,13,10,21,7,2,21
10,4,10,11,27,9,3,16
0,3,7,7,12,5,2,14
10,2,11,15,50,14,4,23
6,9,3,3,5,3,1,9
10,4,8,16,42,11,3,25
11,3,9,11,42,13,4,25
11,3,8,9,27,10,3,1
0,0,6,6,11,4,1,13
4,9,8,12,45,15,4,33
2,2,9,11,22,7,2,4
2,6,6,9,30,11,4,29
2,6,4,3,3,2,1,5
8,8,11,15,48,12,3,26
10,5,12,10,18,7,2,15
2,5,4,7,18,8,3,31
11,4,8,11,24,7,2,20
11,5,14,15,50,13,3,24
0,4,13,14,33,10,3,19
6,3,9,13,29,8,2,25
6,3,3,3,3,2,1,10
11,1,10,15,50,16,4,28
0,0,9,9,17,6,2,15
7,2,11,13,36,9,3,26
11,0,7,11,33,9,3,25
5,5,10,14,48,13,4,27
2,4,12,8,18,7,2,4
6,7,1,1,0,1,1,7
0,5,8,11,44,14,4,0
9,10,6,7,19,8,3,0
9,10,10,14,41,11,3,24
8,10,11,15,37,10,3,23
8,10,7,6,10,4,1,13
5,5,3,4,9,5,2,7
9,3,1,3,8,5,2,24
4,9,10,11,25,8,3,18
5,9,9,11,35,12,3,14
5,10,4,4,4,3,1,9
11,1,9,15,49,14,5,28
9,5,13,14,37,9,3,24
0,2,9,11,46,15,4,33
0,2,10,11,44,15,4,33
4,7,8,8,16,6,2,14
3,7,11,15,32,8,3,25
11,1,10,14,50,14,4,26
0,3,14,16,47,12,3,25
7,2,14,14,39,10,3,24
0,4,10,12,29,9,3,20
6,9,3,3,5,3,1,10
7,9,7,8,14,5,2,14
6,9,12,10,20,7,2,17
7,9,6,6,11,4,1,12
1,6,3,2,2,2,1,1
11,2,13,15,42,11,3,2
11,1,12,13,48,13,4,28
8,6,3,4,9,4,2,9
11,5,11,11,29,9,3,16
0,6,6,8,24,10,3,25
3,8,14,16,43,11,3,27
11,5,9,14,47,12,3,28
2,7,4,5,10,5,2,12
0,3,10,9,23,9,3,0
0,3,4,7,19,8,3,29
4,8,5,5,11,5,2,5
0,0,6,10,37,13,4,30
11,5,1,1,1,1,1,0
2,8,10,11,22,7,2,18
10,5,6,8,19,8,3,1
6,3,9,12,29,8,3,22
5,3,3,3,3,2,1,9
9,5,5,5,7,3,1,9
9,5,14,13,34,10,3,21
0,0,7,8,13,5,2,14
8,5,2,5,14,6,2,31
4,9,8,10,20,7,2,18
11,5,1,0,0,0,0,3
10,4,13,15,46,12,3,25
8,7,4,4,5,3,1,9
0,3,10,13,35,10,3,21
0,4,4,4,6,3,1,12
1,4,8,16,40,10,3,25
8,9,5,8,25,10,3,32
4,9,12,13,34,10,3,21
4,9,9,8,14,5,2,15
4,9,9,14,41,11,3,22
4,9,8,11,27,8,2,22
10,5,12,11,27,9,3,12
3,9,6,6,8,3,1,12
11,4,13,14,39,10,3,23
11,4,8,11,21,7,2,18
8,0,3,6,17,8,3,28
3,6,11,11,20,7,2,17
2,6,7,6,11,4,1,13
3,6,10,12,29,9,3,19
3,6,7,9,17,6,2,16
3,6,11,11,24,8,2,19
2,6,11,14,45,11,3,21
3,8,3,3,3,2,1,12
10,5,12,12,24,8,2,16
8,7,1,0,0,0,0,9
11,3,9,7,13,5,2,13
0,3,5,5,7,3,1,13
1,3,12,9,16,6,2,16
0,0,3,4,10,5,2,7
0,0,13,11,23,8,2,18
5,10,5,8,26,10,3,18
5,10,7,11,41,13,4,30
4,9,9,9,18,6,2,6
3,2,11,13,28,9,3,18
10,3,9,11,34,10,3,25
3,3,6,6,10,4,1,12
2,8,3,4,7,4,1,8
4,4,9,14,48,14,4,27
5,9,14,16,47,12,3,25
3,3,10,10,20,7,2,6
6,7,9,9,16,6,2,16
10,1,14,13,36,10,3,20
5,3,8,12,29,9,3,20
1,2,14,14,48,12,4,26
1,2,15,13,47,15,4,28
5,10,4,4,6,3,1,10
5,10,12,12,25,7,2,24
0,4,14,14,37,10,3,24
0,6,9,17,49,12,3,27
11,0,12,13,45,12,3,26
11,0,9,11,33,9,3,2
9,7,10,12,27,8,3,19
3,2,12,13,31,9,3,20
3,2,7,10,19,7,2,17
5,2,7,10,27,8,3,18
11,5,9,11,44,14,4,1
0,5,8,11,44,14,4,32
5,10,9,12,27,8,2,20
10,1,12,15,50,14,5,26
8,6,6,6,9,4,1,13
9,6,4,5,9,4,1,12
10,4,2,1,0,0,0,3
4,9,14,13,32,9,3,23
4,9,14,11,24,8,2,18
4,10,11,16,50,13,3,2
8,7,5,5,10,4,1,9
9,6,4,3,3,2,1,9
11,7,8,11,38,15,4,15
0,2,7,10,31,12,4,29
5,10,6,6,8,4,1,13
5,10,8,11,45,14,4,25
6,10,8,12,49,15,4,32
4,9,6,8,22,9,3,1
11,1,4,4,4,2,1,9
10,5,11,10,19,7,2,16
10,5,11,13,30,9,3,17
2,7,2,3,5,3,1,8
3,6,12,14,37,10,3,26
10,4,9,12,35,9,3,2
11,3,11,13,34,10,3,20
0,3,13,11,26,8,2,19
10,5,5,7,17,7,3,1
9,2,5,7,18,8,3,29
1,2,13,9,17,6,2,15
6,7,10,12,31,9,3,20
2,7,8,8,21,8,3,4
6,3,3,2,2,1,1,9
6,3,1,1,0,1,0,8
7,2,2,1,0,0,0,8
11,0,13,15,46,12,3,25
11,4,12,7,17,7,2,0
11,6,7,10,33,12,3,14
11,5,6,6,12,5,2,5
11,5,4,5,13,6,2,3
11,4,5,7,19,8,3,33
5,10,5,5,5,3,1,13
4,9,14,11,25,8,2,15
8,2,12,13,30,9,3,19
10,2,6,8,22,9,3,30
11,2,6,10,39,12,4,31
11,3,8,11,41,13,4,33
3,2,14,12,35,10,3,21
0,3,9,10,22,8,2,14
1,3,10,12,27,8,2,20
4,9,4,5,8,4,1,14
4,9,12,13,38,11,3,21
5,9,15,13,29,8,3,22
0,5,7,11,44,14,4,33
8,5,4,5,6,3,1,12
6,0,8,11,43,14,4,33
11,1,10,14,48,14,4,28
1,6,2,2,5,4,1,2
0,2,12,13,49,15,4,27
9,2,5,6,13,6,2,4
1,2,14,9,27,9,3,28
0,0,15,11,33,10,3,18
0,4,6,6,10,4,1,12
10,4,11,9,17,6,2,15
0,3,6,8,24,10,3,33
9,6,6,5,8,4,1,10
8,6,12,13,31,9,3,19
6,0,7,9,29,11,3,7
10,4,6,6,9,4,1,12
4,6,10,15,48,14,4,28
0,2,6,10,36,12,3,31
0,2,6,8,24,10,3,1
5,10,6,10,37,13,4,30
6,10,7,11,42,13,4,30
9,5,6,6,10,4,1,13
0,2,8,10,32,11,3,31
11,3,13,9,17,6,2,16
11,2,4,6,16,7,2,32
10,1,10,17,50,15,5,26
10,1,4,3,3,2,1,12
10,1,5,7,16,7,2,12
10,1,9,16,48,11,3,25
8,6,10,9,16,6,2,15
9,6,9,12,28,9,3,18
8,6,3,2,2,2,1,9
10,3,4,3,2,2,1,2
4,2,15,12,34,10,3,17
4,4,9,13,43,12,3,27
5,7,8,13,26,8,2,22
11,0,10,14,49,15,4,4
11,0,11,14,34,9,3,22
5,3,1,1,0,0,0,9
5,3,5,5,7,3,1,11
2,4,2,2,1,1,0,4
9,4,3,6,16,7,2,16
8,10,11,13,39,10,3,26
5,10,10,12,35,10,3,20
11,4,10,8,22,8,3,3
10,4,1,2,3,2,1,0
4,2,3,4,6,3,1,10
4,2,14,13,40,10,3,21
11,4,15,9,18,6,2,15
11,2,8,12,27,9,3,18
0,5,7,11,38,13,4,29
7,5,3,4,7,4,1,7
6,6,4,4,6,3,1,11
5,10,2,3,7,4,2,7
5,10,9,10,33,11,4,14
3,6,5,4,5,3,1,11
4,6,10,14,47,15,4,14
3,7,3,4,9,4,2,8
0,3,9,12,48,15,4,32
9,6,5,5,7,3,1,12
8,6,11,15,47,12,3,23
11,6,4,7,20,8,3,30
0,7,9,9,25,10,3,1
0,3,9,12,20,6,2,23
10,3,11,11,23,8,2,15
10,4,15,14,38,10,3,21
11,5,15,16,45,11,3,26
11,5,12,11,21,7,2,17
5,10,8,12,44,14,4,29
4,9,6,9,37,12,4,32
8,5,11,9,19,6,2,3
5,0,9,12,48,15,4,21
10,1,13,12,27,8,2,20
11,1,12,13,10,11,1,13
11,6,6,10,35,12,4,30
0,6,12,14,45,11,3,2
0,6,7,10,41,14,5,7
3,3,5,5,9,4,1,11
2,6,10,12,42,13,4,2
9,2,3,3,4,3,1,3
4,4,7,10,38,13,4,33
6,7,10,10,28,9,3,23
2,6,6,9,33,12,4,30
2,8,7,10,36,12,4,30
11,4,9,12,32,10,3,24
4,5,8,12,44,13,4,26
7,10,2,3,4,3,1,9
0,3,9,11,46,14,4,7
1,7,7,8,23,10,3,1
1,5,2,2,3,2,1,5
6,6,9,11,24,8,2,21
11,3,14,12,44,13,4,0
10,4,6,6,8,2,1,5
11,2,12,13,35,9,3,19
11,2,11,12,29,9,3,18
0,5,7,11,42,13,4,27
8,8,3,3,6,4,1,1
9,7,1,1,0,1,0,0
11,5,9,18,49,12,3,28
6,0,12,12,35,9,3,5
6,0,4,7,19,8,3,30
2,8,2,3,5,3,1,10
0,4,10,14,40,10,3,24
0,2,11,11,43,14,4,5
3,6,9,9,15,6,2,15
3,6,13,13,35,10,3,19
9,5,4,4,5,3,1,9
11,3,8,7,12,5,2,13
10,3,10,12,31,9,3,22
1,0,8,14,49,14,4,28
0,0,10,13,47,14,4,27
8,3,10,11,41,14,4,33
5,10,4,5,10,4,2,10
1,1,4,3,3,2,1,6
5,10,6,9,36,12,4,32
4,9,12,13,36,10,3,4
11,4,10,11,37,10,3,24
11,6,13,11,36,10,3,14
9,5,1,1,1,1,0,10
11,3,11,8,15,6,2,15
0,3,12,11,21,7,2,18
2,6,9,12,23,8,2,17
10,0,6,8,26,11,3,33
11,2,9,12,45,14,4,29
0,3,6,10,35,12,3,31
2,8,4,4,4,3,1,9
6,8,7,11,43,13,4,32
3,8,10,10,20,6,2,2
11,6,0,0,0,0,0,2
5,3,9,12,33,9,3,23
6,3,4,3,3,2,1,9
6,3,9,13,28,8,2,22
11,0,8,8,15,6,2,14
11,0,9,10,23,8,3,14
11,0,12,9,20,7,2,14
9,4,7,9,30,11,3,2
4,9,8,14,38,9,3,26
5,10,13,12,33,9,3,22
0,3,8,11,43,13,4,28
11,4,12,14,41,11,3,21
4,5,9,13,48,15,4,28
6,5,13,10,19,7,2,16
6,5,6,5,10,4,1,12
11,1,8,13,48,15,4,29
11,1,15,13,49,14,5,27
9,6,3,4,7,4,1,10
8,6,1,1,0,0,0,8
9,4,5,7,19,8,3,6
8,3,6,6,13,5,2,5
1,2,8,12,41,12,3,19
1,4,8,14,36,10,3,18
11,4,8,12,26,9,3,17
0,4,11,13,34,9,3,25
4,6,9,14,47,14,4,26
9,6,5,5,8,4,1,10
1,0,7,9,32,8,2,6
11,1,12,14,49,13,3,29
9,5,5,5,7,3,1,10
6,0,6,5,10,5,2,14
9,6,11,14,39,10,3,23
5,10,5,8,25,10,3,30
0,3,9,11,42,13,4,1
0,3,7,9,29,11,3,33
1,3,8,11,41,13,4,30
11,4,8,12,38,10,3,25
0,3,10,13,32,9,3,22
6,0,11,14,44,13,4,7
3,0,12,12,30,9,3,16
2,6,5,5,9,4,1,9
10,5,10,11,22,7,2,17
2,6,5,5,8,4,1,9
9,2,12,12,37,10,4,6
5,6,11,13,40,10,3,25
2,8,8,11,41,13,4,30
1,2,10,15,50,16,4,29
0,0,10,14,42,11,3,19
2,9,6,6,15,6,2,6
9,5,4,5,10,4,2,10
5,3,4,4,6,3,1,11
6,3,6,7,12,5,2,13
7,3,8,11,34,10,3,23
11,0,13,13,33,9,3,23
11,2,7,11,41,13,4,31
10,9,11,10,21,7,2,16
9,4,3,7,17,8,3,30
7,10,4,5,9,4,1,9
7,6,3,3,6,3,1,8
11,5,2,3,4,3,1,0
0,4,9,13,36,9,3,23
0,6,12,7,12,5,2,15
0,4,14,15,41,11,3,26
7,5,3,4,8,4,1,12
2,8,14,16,47,12,3,5
5,10,4,5,11,5,2,11
4,9,6,7,13,5,2,14
3,9,11,9,17,6,2,17
9,4,5,7,17,7,3,2
0,2,7,12,44,14,4,30
11,4,15,14,42,10,3,25
2,3,12,10,29,9,5,5
10,5,2,3,6,4,2,1
2,6,5,3,2,2,1,5
2,6,3,3,2,2,1,9
2,6,8,10,25,8,2,4
10,5,13,17,46,12,3,5
11,5,13,12,27,9,3,18
10,5,11,9,19,7,2,14
6,9,2,3,4,3,1,10
1,5,4,7,25,11,4,3
10,4,10,11,22,8,2,18
1,1,4,7,20,8,3,18
4,9,10,10,23,7,2,5
2,2,11,12,29,9,3,18
9,5,1,1,0,1,1,2
0,3,4,6,15,7,2,0
9,8,13,14,50,13,3,29
3,6,5,5,9,4,1,10
3,7,12,10,21,7,2,19
3,7,7,7,12,5,2,13
5,6,5,6,17,7,3,7
11,1,7,15,41,11,3,28
10,4,8,14,38,10,3,25
1,2,10,14,50,16,5,30
2,8,4,5,10,4,2,10
4,3,12,14,50,14,4,27
4,4,12,14,48,14,4,26
5,5,6,6,15,7,2,7
2,3,1,1,1,1,1,4
5,3,3,3,3,2,1,8
11,0,9,14,50,14,4,27
10,2,7,9,29,11,3,26
3,8,8,11,30,9,3,24
0,4,13,14,44,11,3,24
0,6,7,9,26,9,3,25
1,2,9,14,48,14,3,28
9,4,1,1,1,1,1,3
3,2,8,11,29,9,3,24
4,2,12,12,26,8,3,18
0,2,11,15,46,12,3,26
0,4,8,15,44,11,3,28
0,5,8,11,37,12,3,30
8,9,6,8,29,11,3,33
9,6,0,0,1,2,1,1
5,10,14,8,15,6,2,14
4,9,5,5,7,4,1,11
0,2,7,12,46,15,4,28
9,5,4,5,10,4,1,13
11,1,9,15,50,14,4,27
