alpha_freq,delta_kmeans,u_width,g_freq,r_freq,i_width,z_width,redshift_width
2,4,10,14,25,3,3,13
10,3,14,26,32,3,3,3
0,3,11,8,8,1,1,0
0,0,19,25,32,3,3,4
11,1,15,28,31,3,3,3
11,1,15,32,27,3,3,3
6,2,11,7,6,1,1,0
6,2,20,32,30,3,3,3
10,3,14,11,11,2,2,1
10,3,16,25,29,3,3,0
10,3,20,35,38,3,3,3
10,3,15,18,17,2,2,2
11,3,13,22,26,2,2,0
1,2,12,10,8,1,1,1
10,2,17,38,39,3,3,4
1,1,16,40,50,4,5,3
9,3,11,11,17,2,3,0
9,3,11,12,17,2,3,0
5,4,15,36,49,4,4,5
0,1,18,26,26,3,2,3
10,3,14,34,33,3,3,4
3,5,16,17,16,2,2,2
11,3,15,31,31,3,3,3
9,4,7,1,0,0,0,0
10,3,8,4,6,1,1,0
9,4,11,6,5,1,1,0
5,1,12,13,22,3,3,0
6,1,4,0,0,0,0,0
9,4,7,1,1,0,1,0
9,4,13,9,11,1,1,0
0,0,9,2,2,1,1,0
6,8,11,15,26,3,3,10
6,8,13,25,45,4,4,13
11,3,14,24,32,3,3,4
11,2,14,25,41,4,4,17
10,2,16,26,24,2,2,3
0,2,22,40,40,3,3,4
11,1,10,11,15,2,2,1
9,4,18,29,33,3,3,3
9,3,7,2,3,1,1,0
8,5,8,2,1,1,1,0
8,5,11,8,9,1,1,0
11,5,9,6,11,2,2,0
3,6,16,40,45,3,3,4
11,4,17,34,32,3,3,3
3,7,20,32,31,3,3,3
3,5,15,19,20,2,2,2
10,1,16,30,48,4,4,12
7,7,19,39,45,3,3,4
0,0,13,18,35,4,3,16
5,5,16,28,32,3,3,2
3,7,12,10,16,2,2,0
9,7,10,13,22,3,3,7
2,2,12,5,4,1,1,0
3,3,19,27,42,4,4,1
1,1,19,39,49,4,4,5
1,1,17,39,50,4,4,4
1,4,8,2,2,1,1,0
7,1,20,30,28,3,3,3
0,3,20,31,30,3,3,3
11,4,13,16,29,3,3,4
11,3,9,5,11,2,2,0
7,2,14,19,36,4,3,0
1,3,15,28,45,4,3,11
5,8,9,5,9,1,2,0
5,8,9,5,10,2,2,0
8,4,9,5,6,1,1,0
10,3,13,19,38,4,4,0
1,1,18,16,15,2,2,2
3,5,19,39,46,3,3,6
4,5,13,31,45,4,3,5
4,5,14,21,47,4,5,4
3,4,11,6,7,1,1,0
5,4,9,12,18,3,3,8
5,4,20,35,40,3,2,0
5,4,10,13,26,3,4,0
1,2,16,17,16,2,2,2
11,3,23,20,18,2,2,2
9,4,10,7,7,1,1,0
11,2,15,26,43,4,4,17
11,3,12,12,12,1,1,1
10,4,7,2,3,1,1,0
2,4,16,23,28,3,3,3
10,3,19,40,48,4,3,4
11,4,22,25,24,2,2,3
3,6,17,37,47,3,3,4
0,3,9,10,15,2,2,0
7,1,9,13,19,3,3,8
8,7,15,36,34,3,3,3
2,6,16,33,36,3,3,3
4,3,16,37,49,4,4,5
6,5,16,18,18,2,2,2
3,6,18,40,47,3,3,0
4,8,15,21,20,2,2,2
4,1,14,26,32,3,3,3
9,4,13,11,11,1,1,1
8,5,16,14,14,2,2,1
4,4,11,8,8,1,1,0
4,4,10,5,6,1,1,0
11,1,16,29,42,3,3,5
11,1,15,32,49,4,4,5
1,4,20,30,29,2,2,0
9,5,12,9,9,1,1,1
8,2,14,22,42,4,4,14
11,1,12,21,36,3,4,9
0,1,14,26,33,3,3,4
0,1,10,10,16,2,2,0
11,2,22,28,38,4,4,0
5,3,15,34,34,3,3,3
4,8,21,40,49,3,3,4
11,3,18,20,19,2,2,2
11,3,14,21,24,2,3,1
0,3,16,24,33,3,3,2
4,3,9,6,10,2,2,0
9,8,11,6,6,1,1,0
4,7,18,32,30,3,3,3
0,1,14,32,47,4,4,17
0,2,14,27,38,3,3,7
8,5,5,0,0,0,0,0
11,2,15,15,14,2,2,1
0,0,10,4,4,1,1,0
6,8,13,24,39,4,4,9
2,6,21,38,42,3,3,3
4,2,17,30,29,3,3,2
3,1,14,18,19,2,2,2
2,1,19,23,21,2,2,2
3,1,20,20,23,2,2,1
3,1,21,22,20,2,2,3
11,1,4,0,0,0,0,0
9,4,16,34,37,3,3,3
9,4,10,5,3,1,1,1
8,5,8,1,0,0,0,0
3,4,20,40,48,4,5,3
6,1,13,21,39,4,4,15
10,3,15,38,37,3,3,3
10,2,16,23,21,2,2,2
7,8,20,39,50,4,3,6
1,5,10,13,21,3,3,9
11,5,9,10,15,2,2,10
2,4,9,3,2,1,1,1
3,6,16,37,41,3,3,4
3,6,20,29,34,3,3,3
3,7,9,4,6,1,1,0
1,1,15,35,46,4,4,5
1,1,15,35,49,4,4,5
3,7,16,21,20,2,2,2
2,2,8,3,4,1,1,0
2,2,10,7,12,2,2,0
3,9,11,13,21,3,3,13
3,9,13,13,20,3,3,0
0,3,10,8,9,1,1,1
5,5,16,31,33,3,3,3
2,4,13,30,40,3,3,4
0,3,14,23,29,3,3,4
8,8,14,25,31,3,3,4
9,4,15,13,13,2,2,1
11,1,14,23,40,4,4,12
11,3,8,4,6,1,1,0
11,3,16,38,49,3,3,4
7,4,14,21,24,3,2,3
5,9,9,7,10,1,2,1
1,1,11,13,20,3,3,15
11,2,7,3,6,1,2,0
3,4,18,10,9,1,1,1
3,4,19,23,25,2,2,0
3,5,17,35,50,4,5,5
2,4,19,35,36,3,3,3
11,5,18,18,19,2,2,0
11,3,19,40,48,3,3,5
11,4,15,18,17,2,2,2
3,6,15,27,36,3,3,4
11,5,14,18,33,3,3,0
0,2,22,28,22,3,2,2
0,2,21,31,32,3,3,3
10,2,23,29,30,3,3,3
1,1,16,34,43,3,4,6
9,4,15,14,13,2,2,2
6,1,12,15,26,3,3,15
11,3,18,24,30,3,3,0
11,1,17,36,45,4,3,5
10,3,16,39,46,3,3,4
11,2,24,15,14,2,2,1
1,2,21,24,21,2,2,2
1,2,18,18,17,2,2,2
10,1,11,12,15,2,2,0
9,4,8,2,2,1,1,0
4,1,8,3,5,1,1,0
9,7,15,34,49,4,5,10
2,6,13,11,10,1,1,1
6,2,10,6,6,1,1,0
6,2,10,6,6,1,1,0
5,5,16,20,19,2,2,2
5,5,18,31,32,3,3,3
5,5,21,35,45,3,3,4
4,4,16,35,48,4,4,5
11,1,15,20,20,2,2,2
11,1,12,20,31,3,4,8
0,3,9,3,3,1,1,0
0,3,14,16,15,2,2,2
3,1,9,5,4,1,1,1
11,3,15,23,38,3,4,4
8,6,6,0,1,1,1,0
9,3,12,17,30,3,3,6
0,1,13,20,33,3,3,12
0,1,15,32,49,4,4,10
0,1,12,19,37,3,3,12
8,2,19,38,48,2,2,0
5,9,7,1,1,0,0,0
3,4,17,40,50,4,4,10
10,6,11,7,12,2,2,0
4,7,21,34,35,3,3,3
4,8,12,10,9,1,1,1
3,5,14,37,48,3,3,5
11,3,17,25,22,2,2,3
8,5,7,0,0,0,0,0
11,5,20,18,24,3,3,0
10,2,9,3,2,1,1,0
0,2,20,40,42,3,3,5
10,2,9,3,2,1,1,0
11,3,17,33,34,3,3,4
11,1,20,37,49,4,4,11
1,2,14,20,18,2,2,2
0,2,15,30,44,4,4,0
0,2,15,24,42,4,4,14
3,1,14,31,32,3,3,3
2,4,22,30,33,3,3,0
11,4,14,18,18,2,2,2
5,1,15,28,27,3,2,3
6,2,12,12,12,2,2,1
5,2,9,3,2,1,1,0
6,2,11,8,8,1,1,0
5,5,15,31,31,3,3,3
3,7,13,19,33,3,3,15
3,7,16,20,21,2,2,0
4,3,16,33,45,4,4,6
4,3,16,33,35,3,3,3
5,3,11,12,17,2,3,0
3,1,15,21,20,2,2,2
11,1,18,5,6,2,2,0
10,1,10,6,7,1,1,0
9,4,17,24,21,2,2,2
9,4,12,10,10,1,1,1
11,3,15,37,50,4,3,5
4,3,20,32,35,2,2,0
4,4,17,31,47,4,4,5
1,1,15,39,45,3,3,5
1,5,9,5,7,1,1,0
4,7,11,8,6,1,1,1
2,4,17,30,35,3,3,2
0,4,16,22,23,3,3,1
10,4,17,33,32,3,3,3
0,1,19,40,50,4,5,9
1,1,16,18,20,2,2,3
4,8,20,38,50,4,3,7
4,7,9,5,5,1,1,0
5,8,18,28,25,3,3,3
5,8,10,7,8,1,1,0
5,8,14,13,13,2,2,2
7,8,16,38,44,3,3,4
6,8,12,9,9,1,1,1
5,2,20,36,35,3,3,3
4,5,20,37,50,4,4,6
3,5,19,39,44,3,3,3
5,4,15,20,38,4,4,0
11,2,18,25,36,3,3,3
11,2,19,23,20,2,2,2
1,2,21,23,21,2,2,3
10,3,17,27,27,3,3,2
0,2,14,12,12,2,2,1
10,1,18,38,50,4,4,3
6,7,9,3,5,1,1,0
10,3,14,39,42,3,3,4
11,2,15,24,42,4,4,4
11,2,15,17,27,3,3,0
0,0,12,11,11,1,1,1
4,7,14,28,45,4,4,15
2,1,15,23,22,2,2,0
2,4,12,17,30,3,4,7
2,4,9,3,3,1,1,0
8,6,17,38,48,3,3,5
10,3,19,19,18,2,2,2
2,4,9,11,18,2,3,10
11,3,14,24,24,2,2,3
11,3,22,39,50,4,3,4
0,3,20,36,33,3,3,3
6,2,15,33,29,3,2,4
6,2,9,3,3,1,1,0
11,1,16,39,50,4,4,5
0,0,15,17,17,2,2,2
7,1,18,32,36,3,3,4
11,1,14,26,33,3,3,4
5,4,17,37,48,4,4,5
2,3,19,15,18,2,2,0
6,5,5,0,0,0,1,0
0,3,15,26,44,4,4,0
9,9,12,13,19,2,3,0
9,8,17,36,41,3,3,4
8,9,17,39,37,3,3,3
8,8,13,10,10,1,1,1
5,3,9,6,9,2,2,0
9,2,6,2,8,2,2,4
4,7,16,27,25,3,3,3
5,7,16,23,35,3,3,1
5,8,10,4,4,1,1,0
11,1,15,38,49,4,5,5
9,4,19,36,37,3,3,4
0,1,15,26,46,4,4,14
0,1,17,27,44,4,4,17
4,5,15,16,16,2,2,1
3,5,18,39,32,3,3,4
11,1,17,35,50,4,4,5
0,2,22,39,47,3,3,4
7,1,22,36,39,3,3,4
0,3,17,30,29,3,3,3
6,7,8,3,5,1,1,0
7,7,14,14,14,2,2,1
6,7,19,22,20,2,2,2
7,7,12,11,11,1,1,1
1,4,8,2,2,1,1,0
11,1,21,38,42,3,3,0
11,1,18,34,48,4,4,6
8,5,8,5,9,2,2,0
11,3,17,26,29,3,3,2
0,5,11,14,24,3,3,4
3,6,22,40,43,3,3,5
11,4,15,36,47,3,3,6
2,5,10,7,10,2,2,1
0,2,17,17,23,3,3,0
0,2,10,12,19,3,3,6
4,6,11,8,11,2,2,0
0,0,13,22,37,4,4,9
11,3,5,0,1,0,1,0
2,6,16,25,22,2,2,3
10,4,12,14,19,3,3,0
6,2,16,29,29,3,3,3
5,2,9,3,3,1,1,0
9,3,11,7,7,1,1,0
9,3,21,32,34,3,3,3
0,0,13,14,13,2,2,1
8,3,8,8,14,2,2,10
4,7,14,20,20,2,2,3
11,3,6,0,0,0,0,0
10,3,20,39,46,3,3,4
8,5,10,5,5,1,1,0
0,2,17,33,35,3,3,3
0,3,10,6,6,1,1,0
1,3,15,39,40,3,3,4
8,7,10,14,25,3,3,13
4,7,19,34,34,3,3,3
4,7,15,14,14,2,2,2
4,7,16,37,41,3,3,3
4,7,14,26,27,3,2,3
10,4,19,24,27,3,3,0
3,7,12,9,8,1,1,1
11,3,20,36,39,3,3,3
11,3,15,24,21,2,2,3
8,1,9,11,17,2,3,6
3,4,18,25,20,2,2,2
2,4,13,11,11,1,1,1
3,4,17,31,29,3,3,3
3,4,13,18,17,2,2,2
3,5,18,25,24,3,2,3
2,5,18,37,45,3,3,3
3,6,9,3,3,1,1,1
10,3,18,27,24,3,2,2
8,5,6,0,0,0,0,0
11,2,15,13,13,2,2,1
0,2,11,9,7,1,1,1
1,2,19,18,16,2,2,2
0,1,9,5,10,2,2,0
0,0,21,25,23,2,2,3
5,8,11,15,26,3,3,3
5,8,14,24,41,4,4,8
4,7,15,16,18,2,2,0
3,1,17,32,28,3,3,3
10,2,15,26,34,3,3,4
3,2,12,10,10,1,1,1
2,6,8,4,7,1,1,0
4,3,16,35,48,4,4,5
5,7,22,39,47,3,3,4
3,2,17,19,20,2,2,0
6,5,15,17,16,2,2,2
10,1,21,34,36,3,3,3
5,2,15,28,29,3,3,3
1,1,21,37,48,3,4,5
1,1,22,34,47,4,4,5
5,8,9,5,6,1,1,0
5,8,19,30,25,2,2,4
0,3,22,36,37,3,3,4
0,4,16,40,49,4,3,5
11,1,18,33,45,3,3,5
11,1,16,26,33,3,3,0
9,5,17,30,27,3,3,3
3,1,19,32,31,3,3,3
3,1,13,21,19,2,2,2
5,2,13,21,27,3,3,3
11,3,16,26,44,4,4,0
0,3,14,23,44,4,4,13
5,9,15,31,27,3,2,3
10,1,19,39,50,4,5,4
8,5,12,10,9,1,1,1
9,4,10,8,9,1,1,1
10,3,7,0,0,0,0,0
4,7,22,33,32,3,3,3
4,7,22,25,24,3,2,3
4,8,18,40,50,4,3,0
8,5,11,8,10,1,1,0
9,4,9,4,3,1,1,0
11,5,15,24,38,4,4,2
0,1,13,19,31,3,4,6
5,9,12,9,8,1,1,1
5,8,14,27,45,4,4,4
6,8,15,29,49,4,4,13
4,7,12,14,22,3,3,0
11,1,10,4,4,1,1,0
10,3,18,20,19,2,2,2
10,3,18,34,30,3,3,2
2,5,8,3,5,1,1,0
3,5,18,35,37,3,3,4
10,3,15,29,35,3,3,0
11,2,18,33,34,3,3,3
0,2,20,27,26,3,2,3
10,4,11,11,17,2,3,0
9,1,10,12,18,2,3,6
1,1,20,18,17,2,2,2
6,5,16,31,31,3,3,3
2,6,14,15,21,3,3,0
6,2,9,2,2,1,1,0
6,2,6,0,0,0,0,0
7,2,7,0,0,0,0,0
11,1,20,39,46,3,3,4
11,3,19,13,17,2,2,0
11,4,13,22,33,3,3,2
11,4,12,10,12,2,2,0
11,3,10,9,13,2,2,0
11,3,10,12,19,3,3,15
5,8,10,6,5,1,1,1
4,7,22,26,25,3,2,2
8,1,19,33,30,3,3,3
10,1,12,14,22,3,3,9
11,1,12,21,39,4,4,10
11,2,14,25,41,4,4,14
3,1,21,28,35,3,3,3
0,2,15,21,22,2,2,1
1,2,17,28,27,3,2,3
4,7,10,9,8,1,1,1
4,7,19,33,38,3,3,3
5,7,23,34,29,3,3,3
0,3,14,25,44,4,4,14
8,3,10,6,6,1,1,1
6,1,15,25,43,4,4,14
11,1,17,37,48,4,4,5
1,4,7,2,5,1,1,0
0,1,18,35,49,4,4,5
9,1,11,9,13,2,2,0
1,1,21,16,27,3,3,5
0,0,24,27,33,3,3,3
0,3,12,10,10,1,1,1
10,3,18,17,17,2,2,2
0,2,12,15,24,3,3,17
9,5,12,8,8,1,1,0
8,5,18,33,31,3,3,3
6,1,13,17,29,3,3,0
10,3,12,9,9,1,1,1
4,4,17,39,48,4,4,6
0,1,12,19,36,3,3,11
0,1,12,15,24,3,3,0
5,8,12,21,37,4,4,8
6,8,13,24,42,4,4,9
9,4,12,10,10,1,1,1
0,1,14,22,32,3,3,11
11,2,20,18,17,2,2,2
11,1,9,11,16,2,2,13
10,1,17,40,50,4,5,4
10,1,10,4,3,1,1,0
10,1,11,12,16,2,2,0
10,1,15,40,48,3,3,4
8,5,17,17,16,2,2,2
9,4,15,30,28,3,3,3
8,5,8,2,2,1,1,0
10,2,10,2,2,1,1,0
4,2,24,29,34,3,3,2
4,3,16,32,43,3,3,5
5,5,15,33,26,3,2,3
11,1,16,35,49,4,4,0
11,1,18,35,34,3,3,3
5,2,6,0,0,0,0,0
5,2,10,7,7,1,1,0
2,3,7,1,1,0,0,0
9,3,9,10,16,2,2,2
8,8,18,32,39,3,3,4
5,8,17,30,35,3,3,3
11,3,16,15,22,3,3,0
10,3,6,1,3,1,1,0
4,1,9,5,6,1,1,0
4,1,21,34,40,3,3,3
11,3,23,18,18,2,2,2
11,1,15,28,27,3,3,3
0,3,13,24,38,4,4,7
7,4,8,4,7,1,1,0
6,4,10,6,6,1,1,0
5,8,8,3,7,1,2,0
5,8,16,21,33,3,4,1
3,4,11,5,5,1,1,0
4,5,17,36,47,4,4,1
3,5,9,5,9,1,2,0
0,2,15,29,48,4,4,12
9,4,11,7,7,1,1,1
8,5,18,38,47,3,3,3
11,5,10,13,20,3,3,9
0,5,15,17,25,3,3,0
0,2,15,28,20,2,2,3
10,2,18,25,23,2,2,2
10,3,23,35,38,3,3,3
11,3,23,39,45,3,3,5
11,3,19,24,21,2,2,3
5,8,14,31,44,4,4,7
4,7,12,18,37,3,4,12
8,3,17,18,19,2,2,0
5,1,15,31,48,4,4,3
10,1,20,28,27,3,2,3
11,1,19,34,10,3,1,1
11,5,12,21,35,3,4,8
0,5,19,37,45,3,3,0
0,5,13,23,41,4,5,0
3,2,11,8,9,1,1,0
2,4,16,29,42,4,4,0
9,1,8,3,4,1,1,0
4,3,13,21,38,4,4,15
6,5,17,22,28,3,3,3
2,4,12,19,33,3,4,9
2,6,13,21,36,3,4,8
11,3,15,29,32,3,3,4
4,4,15,31,44,4,4,4
7,9,8,2,4,1,1,0
0,2,15,26,46,4,4,0
1,5,14,15,23,3,3,0
1,4,8,2,3,1,1,0
6,4,16,24,24,2,2,3
11,2,21,29,44,4,4,0
10,3,12,10,8,1,1,0
11,1,19,33,35,3,3,3
11,1,18,31,29,3,3,3
0,3,13,23,42,4,4,5
8,7,8,4,6,1,1,0
9,5,6,0,0,0,0,0
11,4,15,40,49,3,3,5
6,1,19,29,35,3,3,0
6,1,10,12,19,2,3,9
2,6,8,3,5,1,1,0
0,3,17,36,40,3,3,4
0,1,18,26,43,4,4,0
3,4,16,16,15,2,2,2
3,5,20,32,35,3,3,3
9,4,10,5,5,1,1,0
11,2,15,12,12,2,2,1
10,2,16,28,31,3,3,3
1,1,15,36,49,4,4,5
0,1,16,33,47,4,4,5
8,2,16,24,41,4,4,17
5,9,9,6,10,2,2,0
1,1,10,3,3,1,1,0
5,8,13,19,36,4,4,13
4,7,19,33,36,3,3,0
11,3,17,27,37,3,3,4
11,4,20,27,36,3,3,1
9,4,7,1,1,0,0,0
11,2,18,15,15,2,2,2
0,2,19,25,21,2,2,3
2,4,15,28,23,2,2,2
10,1,12,15,26,3,3,16
11,1,15,29,45,4,4,6
0,2,12,20,35,3,3,10
2,6,9,4,4,1,1,0
6,6,13,24,43,4,4,12
3,6,17,19,20,2,2,0
11,4,2,0,0,0,0,0
5,2,15,30,33,3,3,3
6,2,9,3,3,1,1,0
6,2,15,34,28,3,2,3
11,1,15,15,15,2,2,2
11,1,15,23,23,3,3,2
11,1,19,19,20,2,2,1
9,3,13,18,30,3,3,0
4,7,14,37,38,3,3,4
5,8,20,31,33,3,3,3
0,2,14,25,43,4,4,5
11,3,19,36,41,3,3,3
4,4,15,34,48,4,4,5
6,4,20,20,19,2,2,2
6,4,12,9,10,1,1,1
11,1,15,35,48,4,4,6
11,1,23,32,49,4,5,5
9,4,8,4,7,1,1,0
8,5,6,0,0,0,0,0
9,3,11,12,19,3,3,0
8,2,12,10,13,2,2,0
1,1,14,28,41,3,3,3
1,3,14,36,36,3,3,3
11,3,14,30,26,3,3,2
0,3,18,33,34,3,3,4
4,5,15,35,47,4,4,4
9,5,11,7,8,1,1,0
1,1,13,16,32,3,2,0
11,1,19,37,49,4,3,6
9,4,11,8,7,1,1,0
6,1,12,7,10,2,2,1
9,4,18,35,39,3,3,3
5,8,11,15,25,3,3,9
0,2,15,26,42,4,4,0
0,2,13,17,29,3,3,16
1,2,14,25,41,4,4,9
11,3,14,30,38,3,3,4
0,2,16,33,32,3,3,3
6,1,18,36,44,4,4,0
3,1,19,29,30,3,3,2
2,5,10,7,9,1,1,0
10,3,17,23,22,2,2,2
2,4,11,7,8,1,1,0
9,2,19,28,37,3,4,0
5,5,17,34,40,3,3,4
2,6,14,25,41,4,4,8
1,1,16,38,50,4,4,6
0,0,16,36,42,3,3,3
2,7,12,11,15,2,2,0
9,4,9,7,10,2,2,0
5,2,10,6,6,1,1,0
6,2,12,12,12,2,2,1
7,2,15,25,34,3,3,3
11,1,20,32,33,3,3,3
11,1,13,24,41,4,4,10
10,7,18,23,21,2,2,2
9,3,9,11,17,2,3,8
7,8,10,7,9,1,1,0
7,4,8,3,6,1,1,0
11,4,7,2,4,1,1,0
0,3,16,35,36,3,3,3
0,4,18,12,12,2,2,2
0,3,21,38,41,3,3,4
7,4,8,5,8,1,1,1
2,6,22,39,47,3,3,0
5,8,9,7,11,2,2,0
4,7,12,13,13,2,2,1
3,7,18,17,17,2,2,2
9,3,11,11,17,2,3,0
0,1,14,30,44,4,4,8
11,3,23,35,42,3,3,4
2,2,19,22,29,3,5,0
10,4,7,3,6,1,2,0
2,4,11,3,2,1,1,0
2,4,8,2,2,1,1,0
2,4,14,22,25,3,2,0
10,3,21,40,46,3,3,0
11,3,20,28,27,3,3,3
10,3,18,19,19,2,2,1
6,7,8,2,4,1,1,0
1,4,10,13,25,3,4,0
10,3,16,24,22,2,2,3
1,1,10,11,20,3,3,3
4,7,16,23,23,2,2,0
2,1,18,31,29,3,3,3
9,3,5,0,0,0,1,0
0,2,10,10,15,2,2,0
9,6,20,37,50,4,3,6
3,4,11,8,9,1,1,0
3,5,19,21,21,2,2,3
3,5,13,12,12,2,2,1
5,4,10,11,17,2,3,0
11,1,14,38,41,3,3,6
10,3,14,35,38,3,3,4
1,1,17,37,50,4,5,8
2,6,10,7,10,2,2,0
4,2,19,37,50,4,4,5
4,3,19,36,48,4,4,4
5,4,12,11,15,2,2,0
2,2,6,0,1,0,1,0
5,2,9,2,3,1,1,0
11,1,16,36,50,4,4,5
10,1,13,17,29,3,3,4
3,6,15,26,30,3,3,4
0,3,20,37,44,3,3,4
0,4,14,18,26,3,3,4
1,1,15,36,48,4,3,5
9,3,6,0,1,0,1,0
3,1,15,25,29,3,3,4
4,1,19,28,26,3,3,3
0,1,17,39,46,3,3,4
0,3,14,38,44,3,3,5
0,3,15,25,37,3,3,8
8,7,12,16,29,3,3,14
9,4,5,0,1,1,1,0
5,8,21,15,15,2,2,2
4,7,11,7,7,1,1,0
0,1,14,29,46,4,4,6
9,4,10,8,10,1,1,1
11,1,15,38,50,4,4,5
5,1,15,25,41,4,4,6
