alpha_width_kmeans,delta_freq_freq,u_freq_freq,g_freq_freq,r_width_kmeans,i_kmeans_width,z_width_freq,redshift_kmeans_freq
5,6,47,17,4,29,1,3
7,4,29,18,6,36,2,4
7,4,24,7,3,14,0,1
3,9,21,15,7,51,2,5
3,9,15,10,6,44,2,4
2,2,3,1,2,7,0,1
0,3,13,9,4,36,2,4
0,3,30,12,6,44,2,0
7,1,40,24,8,55,2,4
7,0,38,10,4,25,1,3
1,6,37,21,4,22,0,0
2,6,41,14,4,29,1,2
7,5,29,20,7,55,2,5
3,1,46,20,6,36,2,3
4,8,44,23,7,44,2,0
4,8,34,18,7,55,2,5
2,3,32,14,6,29,1,4
4,3,11,7,4,29,2,5
4,7,17,13,4,33,2,3
2,8,13,9,4,40,2,5
3,9,24,10,3,22,1,2
6,5,25,10,4,33,2,0
3,5,14,7,3,25,1,0
2,3,42,24,7,33,1,0
4,3,47,22,6,36,2,3
3,7,41,10,3,22,1,2
0,4,36,18,6,36,2,3
7,5,38,23,7,44,2,4
0,6,21,5,2,11,0,0
3,3,44,18,7,51,2,0
5,2,17,10,6,40,2,5
0,2,46,20,6,33,2,3
0,0,26,20,6,36,2,3
3,2,26,16,6,36,2,4
2,6,37,22,6,33,2,4
3,7,20,7,3,18,1,1
3,6,43,24,7,44,2,4
3,7,30,21,6,36,2,4
3,7,18,7,2,14,0,1
0,3,11,9,4,33,2,5
0,3,17,11,6,40,2,4
5,6,1,1,1,3,0,1
0,3,42,20,6,36,2,3
0,3,43,11,3,22,1,2
4,9,19,9,4,25,2,1
0,0,33,21,7,47,2,4
7,1,36,23,7,51,2,4
5,4,22,14,4,25,1,2
7,3,17,10,6,40,2,5
4,9,25,10,4,36,2,0
7,4,44,20,6,33,2,3
7,1,28,21,7,55,2,4
0,3,42,20,6,36,2,3
5,5,22,9,4,33,2,0
2,8,29,20,6,36,2,4
7,5,41,24,7,44,2,4
7,5,29,21,7,40,2,4
3,5,1,3,2,18,1,4
3,5,5,3,2,11,0,0
0,4,32,12,4,25,1,2
7,1,20,9,3,22,1,1
7,1,12,6,3,22,1,1
7,0,41,21,7,40,2,3
3,5,5,2,2,7,0,0
3,5,3,5,3,22,1,2
5,9,19,9,3,18,1,2
4,2,48,14,4,25,1,3
4,2,27,15,4,29,1,2
0,4,33,19,6,33,2,3
0,4,36,14,4,25,1,3
0,2,32,23,8,55,2,4
3,9,22,8,3,18,1,2
3,4,4,3,2,14,0,0
0,3,30,17,7,55,2,5
5,4,22,7,3,11,0,0
3,2,36,21,6,33,2,4
3,2,8,4,2,14,0,1
2,6,45,17,4,25,1,3
3,6,8,4,3,18,1,0
3,6,43,18,6,22,1,0
4,2,47,17,4,33,2,2
4,2,13,6,2,14,0,1
0,4,40,22,6,36,2,3
5,7,1,1,1,3,0,0
5,5,40,13,4,25,1,2
7,4,46,23,6,33,2,4
4,9,14,10,6,36,2,5
3,9,41,15,6,36,2,0
7,4,34,18,6,33,2,4
7,4,44,22,6,36,2,3
7,4,48,21,6,36,2,3
3,0,27,15,6,51,2,0
7,4,27,23,7,44,2,4
0,3,5,3,2,7,0,1
3,8,29,20,6,36,2,4
2,6,8,5,2,14,0,1
3,8,6,1,1,3,0,1
2,6,46,21,6,36,2,4
3,3,31,21,6,33,1,0
0,0,48,20,6,33,2,4
0,0,21,10,3,22,1,2
7,2,28,18,7,55,2,3
4,3,4,3,2,18,1,0
3,5,14,8,4,33,2,5
2,6,11,9,4,36,2,5
7,4,21,16,6,36,2,3
0,4,13,5,2,14,0,1
0,0,41,15,6,36,2,4
7,0,27,17,6,33,2,3
7,0,28,20,6,29,2,3
4,3,11,4,2,11,0,1
4,3,44,20,6,33,2,3
7,4,25,7,3,14,1,1
7,4,33,15,6,33,2,0
7,4,44,21,6,36,2,4
7,4,28,11,3,22,1,2
7,5,20,14,4,25,1,0
0,3,16,6,2,11,0,1
7,3,35,23,6,36,2,4
0,2,33,24,8,55,2,3
5,4,11,7,4,29,2,0
5,4,12,7,4,25,2,0
3,5,29,22,7,51,2,4
0,0,39,16,4,29,1,3
5,5,25,21,6,33,2,4
3,6,31,10,3,22,1,2
7,5,26,19,6,33,2,3
5,5,2,1,1,3,0,1
5,4,4,3,2,11,0,0
5,6,12,4,2,11,0,1
3,0,15,8,4,33,2,0
4,0,0,0,0,0,0,0
5,6,1,1,1,3,0,0
5,5,20,6,2,14,0,1
0,0,6,1,1,7,0,1
4,9,13,9,4,36,2,5
4,9,19,15,7,55,2,5
7,4,24,15,6,36,2,4
7,3,25,15,6,51,2,5
7,3,32,16,4,25,1,3
0,3,47,24,6,36,2,4
7,1,11,7,3,22,1,1
5,6,40,18,6,36,2,3
5,5,2,1,1,7,0,0
5,6,4,1,1,3,0,1
5,7,12,5,2,14,0,1
7,6,5,4,3,18,1,0
2,8,31,24,7,44,2,4
7,5,37,21,6,33,2,3
3,9,45,20,6,33,2,3
2,7,28,12,4,25,1,2
7,2,31,18,7,55,2,5
4,9,41,24,7,40,2,4
0,0,19,11,6,44,2,5
3,6,31,17,6,36,2,2
3,9,15,6,3,25,1,0
5,9,10,8,4,33,2,4
2,3,14,3,2,11,0,0
2,4,42,17,6,51,2,1
0,2,42,24,7,55,2,4
0,2,36,24,8,55,2,4
0,5,3,1,1,7,0,0
4,2,43,18,6,33,2,3
0,4,44,19,6,33,2,3
7,5,18,10,6,40,2,4
7,4,5,3,3,18,1,0
4,3,21,12,6,44,2,0
0,4,25,17,7,47,2,5
3,9,6,3,2,14,1,0
3,9,5,3,2,14,1,0
4,5,7,3,2,11,0,1
7,4,19,12,6,47,2,0
0,2,38,10,3,22,1,2
2,6,42,24,7,44,2,4
3,6,21,19,7,47,2,4
3,6,22,13,7,51,2,4
2,6,12,4,2,11,0,1
3,6,7,7,4,29,2,5
3,6,44,21,6,29,1,0
3,6,9,8,4,40,2,0
0,3,31,10,3,22,1,2
7,5,48,12,4,25,1,2
5,5,10,4,2,14,0,1
7,3,29,16,7,51,2,5
7,5,15,7,3,14,0,1
5,5,1,1,2,11,0,0
2,6,32,14,6,33,2,3
7,5,42,24,7,44,2,4
7,5,47,15,4,29,1,3
3,8,37,23,7,44,2,4
0,4,7,6,3,25,1,0
4,0,7,8,4,29,2,5
5,9,28,22,6,33,2,4
2,8,33,20,6,36,2,3
3,4,34,23,7,51,2,4
4,7,33,11,4,25,1,2
2,8,39,24,7,44,2,0
3,9,29,13,4,25,1,3
3,2,24,16,6,33,2,3
5,5,19,7,2,14,0,1
5,6,30,9,3,18,1,2
3,5,12,5,2,14,0,1
3,5,9,3,2,11,0,0
7,0,34,18,6,40,2,4
7,0,28,20,7,44,2,4
0,5,44,18,6,25,1,0
5,7,14,6,2,14,0,1
5,3,22,14,6,47,2,5
7,2,16,13,6,44,2,5
0,0,21,16,6,33,2,4
0,0,9,6,3,25,1,1
7,3,47,17,6,47,2,0
3,4,28,21,6,33,2,3
3,9,47,24,7,44,2,4
7,4,40,12,4,25,1,2
7,4,22,13,4,29,2,2
0,4,34,15,6,36,2,2
3,5,7,4,2,18,1,0
5,9,11,4,2,11,0,1
3,9,38,20,6,29,2,3
0,2,25,20,7,51,2,5
0,3,25,17,6,44,2,4
5,6,0,0,0,0,0,0
7,3,29,9,3,18,1,2
0,0,10,3,2,7,0,1
4,9,19,15,6,47,2,5
2,8,46,23,6,40,2,3
3,2,35,18,6,33,2,3
2,2,23,11,4,25,1,2
2,2,41,14,4,25,1,3
2,2,44,12,4,29,1,2
3,2,46,14,4,25,1,3
7,1,0,0,1,3,0,0
5,6,33,21,6,33,2,4
5,6,10,3,2,7,0,1
5,6,3,1,1,3,0,1
2,6,43,24,7,51,2,3
4,0,20,13,6,47,2,5
7,4,29,23,6,33,2,3
7,3,33,14,4,25,1,2
4,9,44,24,8,47,2,4
0,6,9,8,4,33,2,5
7,6,5,6,3,25,1,5
2,6,5,2,1,7,0,1
2,8,32,23,6,36,2,4
2,8,43,18,6,36,2,3
3,9,5,3,2,11,0,1
0,2,29,21,7,51,2,4
0,2,30,21,7,51,2,4
2,9,34,13,4,25,1,3
2,3,4,2,2,11,0,0
2,3,8,4,3,18,1,0
2,9,12,8,4,29,2,5
2,9,17,8,4,29,2,0
0,4,10,5,2,14,0,1
3,6,32,19,6,33,2,3
2,6,18,18,6,33,2,4
0,4,21,14,6,33,2,4
5,9,23,15,6,33,2,4
5,6,25,8,3,18,1,1
7,2,22,14,6,47,2,5
7,5,4,3,2,14,0,0
7,4,30,23,7,44,2,4
4,6,21,13,4,29,1,3
3,9,6,4,2,14,1,1
1,1,12,8,4,33,2,5
7,3,2,2,2,14,1,0
2,6,40,6,2,14,0,1
2,6,41,14,4,29,1,0
2,6,36,21,8,55,2,4
2,6,42,21,6,36,2,4
7,6,38,11,4,25,1,0
7,5,42,24,7,44,2,4
7,5,29,11,3,22,1,2
2,7,28,17,6,36,2,4
7,7,24,11,6,40,2,0
0,3,48,17,4,29,1,2
0,3,47,19,6,33,2,3
7,3,48,18,6,33,2,3
0,0,30,21,7,44,2,4
5,5,26,9,3,18,1,2
4,0,15,9,4,40,2,5
7,4,39,15,6,33,2,0
7,1,37,22,7,47,2,4
7,4,33,24,7,36,2,4
7,3,48,9,3,18,1,2
0,3,45,15,4,25,1,2
0,3,40,11,3,22,1,2
7,1,13,7,3,22,1,1
5,5,3,1,1,7,0,1
3,2,4,2,2,11,0,1
5,9,29,21,7,55,2,5
2,8,18,7,2,14,0,1
4,3,10,4,2,11,0,1
4,3,10,4,2,11,0,1
3,7,32,12,4,25,1,2
3,7,39,19,6,33,2,3
3,7,45,21,7,40,2,4
3,5,30,21,7,55,2,4
7,0,30,12,4,25,1,2
7,2,16,12,6,44,2,5
0,4,5,2,2,7,0,1
0,4,25,10,3,22,1,2
2,2,7,3,2,11,0,1
7,4,26,14,6,44,2,4
5,8,0,0,1,7,0,0
5,4,16,10,6,40,2,4
0,2,18,12,6,44,2,5
0,2,29,20,7,55,2,5
0,2,16,12,6,44,2,5
4,3,41,23,7,25,1,0
3,9,2,1,1,3,0,0
2,5,34,24,7,51,2,5
5,8,11,4,3,22,1,0
3,9,46,21,6,36,2,3
3,9,17,6,2,14,0,1
2,6,24,23,7,44,2,4
7,5,37,15,4,25,1,3
5,6,1,0,1,0,0,1
7,7,44,11,4,33,2,0
7,3,7,2,1,3,0,1
0,3,44,24,6,40,2,4
7,3,7,2,1,7,0,1
7,4,37,20,6,33,2,4
7,1,43,23,7,47,2,5
0,3,25,12,4,25,1,2
0,3,30,18,7,51,2,0
0,3,28,15,6,47,2,5
3,2,25,19,6,36,2,3
2,6,48,18,6,36,2,0
7,5,24,11,4,22,1,2
3,2,27,17,4,29,1,4
4,3,16,7,3,18,1,1
3,3,7,2,1,7,0,1
4,3,13,5,2,14,0,1
3,6,29,19,6,33,2,3
3,9,20,12,6,40,2,5
3,9,34,12,4,25,1,0
3,4,32,20,7,47,2,4
3,4,33,20,6,36,2,4
3,5,12,7,4,29,2,0
3,2,26,13,4,25,1,2
7,1,41,3,2,18,1,0
7,1,8,4,2,11,0,1
5,6,37,15,4,29,1,2
5,6,15,6,2,14,0,1
7,4,28,23,7,44,2,4
3,5,45,20,6,29,1,0
3,5,36,19,7,51,2,4
0,2,28,24,7,44,2,4
0,7,6,3,2,14,0,0
3,9,13,5,2,11,0,1
2,6,35,18,6,36,2,2
0,6,34,14,4,29,2,1
7,5,37,20,6,36,2,3
0,0,41,24,8,51,2,5
0,0,31,11,4,25,1,3
3,9,44,23,8,51,2,4
3,9,7,3,2,11,0,0
3,9,40,17,4,29,2,3
3,9,11,4,2,14,0,1
3,9,23,8,3,18,1,2
4,9,32,23,7,40,2,4
4,9,16,6,2,14,0,1
3,3,44,22,6,36,2,3
3,6,44,23,7,51,2,4
3,7,43,24,7,44,2,3
3,5,28,12,6,47,2,0
7,3,39,15,6,36,2,3
7,3,43,14,4,25,1,2
0,3,45,14,4,25,1,3
7,4,34,17,6,33,2,2
0,3,21,7,3,18,1,2
7,2,38,23,8,51,2,4
4,9,5,2,2,11,0,0
7,4,25,24,6,40,2,4
7,3,27,15,7,47,2,4
7,3,26,10,6,36,2,0
0,0,14,7,3,14,0,1
3,9,24,17,7,55,2,5
2,2,29,14,4,25,1,0
2,6,16,10,6,40,2,4
1,6,7,2,2,7,0,0
4,8,37,23,7,44,2,4
7,5,41,12,4,25,1,2
2,5,7,7,4,29,2,5
7,4,24,15,4,25,1,3
7,5,48,24,8,47,2,4
0,4,44,22,6,36,2,3
4,3,28,20,6,29,1,4
4,3,6,2,1,7,0,1
7,1,33,24,7,58,2,4
0,0,30,10,3,22,1,2
4,2,38,20,6,33,2,4
7,0,21,16,6,33,2,4
3,5,34,23,7,47,2,4
2,4,43,9,4,25,1,0
4,7,0,0,1,3,0,0
0,5,27,16,7,51,2,0
5,9,17,8,4,29,2,0
5,9,35,22,6,40,2,4
4,9,36,24,6,36,2,4
5,9,19,6,2,14,0,1
3,5,5,4,2,18,1,0
5,3,1,1,2,18,1,4
3,9,34,17,4,29,2,3
3,9,30,14,6,44,2,2
3,9,8,3,2,11,0,1
7,1,30,23,7,51,2,4
5,5,43,22,6,33,2,4
0,2,29,16,7,55,2,5
0,2,35,17,7,55,2,5
3,7,27,10,3,22,1,2
3,7,39,24,6,29,2,4
7,1,35,21,8,51,2,4
0,3,47,24,7,44,2,4
4,2,47,22,6,36,2,4
0,4,34,18,6,33,2,3
4,9,4,2,2,11,0,1
4,9,21,9,3,18,1,2
4,9,42,14,4,25,1,3
4,9,17,7,3,14,0,1
0,6,3,1,1,7,0,0
7,2,45,23,6,40,2,0
7,1,40,21,7,47,2,4
5,6,4,3,2,14,1,1
7,5,36,16,6,33,2,2
0,6,14,9,4,36,2,4
2,8,47,24,7,40,2,4
7,5,27,22,7,44,2,4
2,7,8,4,2,18,1,1
0,3,36,10,4,33,2,0
0,3,9,7,4,29,2,4
3,8,13,5,3,18,1,0
0,0,17,14,6,47,2,5
7,5,0,0,1,3,0,0
2,8,34,15,4,25,1,3
5,5,17,9,4,29,2,0
4,3,31,18,6,29,2,3
3,3,5,2,1,7,0,1
5,5,12,4,2,11,0,1
5,5,47,20,6,36,2,3
0,0,19,9,3,18,1,2
5,5,3,5,3,22,1,5
3,9,25,12,4,25,1,3
7,5,0,0,0,0,0,0
7,4,43,24,7,44,2,4
5,7,9,3,2,11,0,1
0,3,36,20,6,36,2,3
0,4,9,4,2,11,0,1
0,4,27,24,6,36,2,4
4,9,10,9,4,36,2,5
3,9,42,21,6,36,2,3
3,9,29,9,3,18,1,2
3,9,30,23,6,40,2,3
3,9,24,16,6,29,1,3
5,5,41,15,6,33,2,1
3,9,16,6,2,11,0,1
7,4,44,22,6,36,2,4
7,4,26,15,4,25,1,3
4,0,6,7,3,29,2,4
2,6,39,15,4,25,1,2
2,6,18,7,3,14,0,1
2,6,34,19,6,33,2,3
2,6,20,11,4,22,1,2
2,6,38,15,4,29,1,3
2,6,38,23,7,40,2,3
3,8,5,2,2,7,0,1
7,5,40,17,4,29,1,2
5,7,1,0,0,0,0,0
7,3,28,8,3,18,1,1
0,3,14,6,2,11,0,1
0,3,41,11,3,22,1,2
0,0,5,3,2,18,1,0
0,0,45,15,4,29,1,3
3,9,13,9,4,36,2,3
3,9,22,15,6,47,2,5
3,9,28,10,4,22,1,0
2,2,37,20,6,33,2,3
7,3,28,16,6,36,2,4
3,3,15,6,2,14,0,1
2,8,3,3,2,14,0,0
3,4,30,21,7,51,2,4
3,9,47,24,7,44,2,4
2,3,36,12,4,25,1,0
4,7,28,10,3,22,1,2
7,1,47,21,6,36,2,3
3,3,27,17,6,33,2,3
0,2,47,23,7,44,2,4
0,2,48,21,7,55,2,4
3,9,6,3,2,11,0,1
3,9,43,18,4,25,1,4
0,4,47,22,6,36,2,4
0,6,31,24,7,44,2,4
7,0,40,20,7,44,2,4
7,0,31,16,6,33,2,0
5,7,35,18,6,29,2,3
2,2,42,20,6,33,2,3
3,2,19,13,4,25,1,2
3,2,20,13,6,29,2,3
7,5,32,16,7,51,2,0
0,5,24,14,7,51,2,5
3,9,27,19,6,29,1,3
7,1,41,24,8,51,2,4
5,6,15,6,2,14,0,1
5,6,8,5,2,14,0,1
5,4,1,0,0,0,0,0
3,9,47,20,6,33,2,4
3,9,47,15,4,29,1,3
3,9,40,24,7,47,2,0
5,7,13,5,2,14,0,1
5,6,7,3,2,7,0,1
7,7,26,15,6,55,2,2
0,2,18,12,6,44,2,4
3,9,15,6,2,14,0,1
4,9,23,17,7,51,2,4
4,9,26,18,7,55,2,5
3,9,17,9,4,33,2,0
7,1,10,3,2,7,0,1
7,5,39,12,4,25,1,2
7,5,38,21,6,33,2,3
2,7,3,2,2,11,0,0
3,6,40,21,6,36,2,4
7,4,28,18,6,33,2,0
7,3,39,20,6,36,2,3
0,3,45,17,4,29,1,3
6,5,12,7,4,25,2,0
5,2,10,7,4,29,2,4
0,2,44,11,3,22,1,2
4,7,33,19,6,33,2,3
2,7,24,9,4,29,2,0
4,3,5,1,1,3,0,0
4,3,1,0,1,3,0,0
4,2,2,0,1,0,0,0
7,0,45,24,7,44,2,4
7,4,42,8,3,25,1,0
7,6,21,14,6,44,2,2
7,5,17,6,3,18,1,0
7,5,8,6,3,22,1,0
7,4,10,7,4,29,2,5
3,9,11,4,2,11,0,1
3,9,47,16,4,29,1,2
4,2,41,20,6,33,2,3
7,2,15,9,4,33,2,5
7,2,17,13,6,44,2,5
7,3,25,15,6,47,2,5
2,2,46,17,6,36,2,3
0,3,30,13,4,29,1,2
0,3,34,17,6,29,1,3
3,9,9,6,2,14,0,2
3,9,43,20,6,40,2,3
3,9,48,21,6,29,2,3
0,5,21,15,7,51,2,5
5,5,8,4,2,11,0,1
4,0,26,15,7,51,2,5
7,1,34,23,7,51,2,4
0,6,2,1,2,14,0,0
0,2,40,21,7,55,2,4
5,2,13,6,3,22,1,0
0,2,46,10,6,33,2,4
0,0,48,17,6,36,2,3
0,4,14,6,2,14,0,1
7,4,38,10,3,22,1,2
0,3,16,9,4,36,2,5
5,6,15,5,2,14,0,1
5,6,40,20,6,33,2,3
4,0,18,10,6,40,2,0
5,4,17,6,2,14,0,1
3,6,36,24,7,51,2,4
0,2,16,12,6,44,2,5
0,2,16,9,4,36,2,0
3,9,17,13,6,47,2,5
4,9,20,15,6,47,2,5
5,5,14,6,2,14,0,1
0,2,24,14,6,40,2,5
7,3,44,11,4,22,1,2
7,2,7,7,3,25,1,5
7,1,36,24,8,55,2,4
7,1,9,3,1,7,0,1
7,1,11,7,3,25,1,1
7,1,29,24,7,40,2,4
5,6,35,10,3,22,1,2
5,6,29,18,6,33,2,3
5,6,3,1,1,7,0,0
7,3,8,1,1,7,0,0
3,2,48,18,6,36,2,3
3,4,31,20,7,44,2,4
3,7,27,20,4,29,1,3
7,0,34,21,7,55,2,0
7,0,38,21,6,33,2,3
3,3,0,0,0,0,0,0
3,3,10,4,2,11,0,1
1,4,2,1,1,3,0,0
5,4,6,6,3,25,1,2
5,9,39,20,6,36,2,4
3,9,36,18,6,36,2,3
7,4,32,9,4,29,2,0
5,4,1,1,1,7,0,0
3,2,6,3,2,11,0,1
3,2,46,21,6,36,2,3
7,4,48,11,4,22,1,2
7,2,27,17,4,33,2,3
0,5,19,15,6,47,2,4
4,5,3,3,2,14,0,0
4,6,9,4,2,11,0,1
3,9,3,2,2,14,1,0
3,9,31,13,6,40,2,2
2,6,13,3,2,11,0,1
3,6,35,22,7,55,2,2
3,7,5,3,2,14,1,0
0,3,27,18,7,55,2,5
5,6,11,4,2,11,0,1
5,6,40,23,7,44,2,4
7,6,9,8,4,29,2,5
0,7,29,10,4,36,2,0
0,3,29,17,4,22,1,4
7,3,39,15,4,29,1,2
7,4,48,21,6,36,2,3
7,5,48,24,7,40,2,4
7,5,41,15,4,25,1,3
3,9,22,19,7,51,2,4
3,9,15,11,6,44,2,5
4,5,37,11,4,22,1,0
3,0,27,19,7,55,2,3
7,1,43,17,6,29,1,3
7,1,43,21,2,40,0,1
7,6,17,13,6,44,2,5
0,6,41,23,7,40,2,0
0,6,19,14,6,51,2,0
3,3,12,5,2,14,0,1
2,6,34,18,6,47,2,0
5,2,4,2,2,11,0,0
3,4,20,13,6,47,2,5
4,7,36,14,6,33,2,4
2,6,15,12,6,44,2,5
2,8,18,13,6,44,2,5
7,4,29,18,6,36,2,4
3,5,25,19,7,47,2,4
4,9,3,1,2,11,0,0
0,3,27,16,7,51,2,0
1,7,21,9,4,36,2,0
0,5,3,1,1,7,0,0
4,6,30,15,4,29,1,3
7,3,46,18,7,47,2,0
5,4,16,6,2,7,0,0
7,2,41,20,6,33,2,3
7,2,39,19,6,33,2,3
0,5,21,14,6,47,2,4
5,8,3,3,2,14,0,0
5,7,0,0,1,3,0,0
7,5,27,24,7,44,2,4
4,0,43,18,6,33,2,0
4,0,9,7,4,29,2,5
2,8,3,2,2,11,0,1
0,4,34,22,6,36,2,4
0,2,39,16,7,51,2,0
2,6,31,10,3,22,1,2
3,6,44,20,6,36,2,3
5,5,9,3,2,11,0,1
7,3,26,7,3,18,1,2
7,3,33,17,6,33,2,3
0,0,26,22,7,51,2,4
0,0,33,20,7,51,2,4
4,3,33,15,6,51,2,5
3,9,6,4,2,14,1,1
1,1,8,2,2,7,0,0
3,9,17,12,6,44,2,5
3,9,42,20,6,36,2,0
7,4,35,17,6,36,2,4
7,6,44,17,6,36,2,2
5,5,1,1,1,3,0,1
7,3,38,9,3,22,1,2
0,3,41,15,4,25,1,3
2,6,29,17,4,29,1,3
7,0,17,9,4,40,2,5
7,2,28,18,7,51,2,4
0,3,17,12,6,44,2,5
2,8,7,3,2,11,0,0
4,8,19,15,7,47,2,5
2,8,35,12,4,22,1,0
7,6,0,0,0,0,0,0
3,3,29,18,6,33,2,3
4,3,6,2,2,7,0,0
4,3,30,21,6,29,1,3
7,0,26,9,3,22,1,2
7,0,29,14,4,29,2,2
7,0,41,12,4,25,1,2
5,4,20,11,6,40,2,0
3,9,23,23,6,33,2,4
3,9,45,19,6,33,2,3
0,3,24,15,7,47,2,4
7,4,43,22,6,40,2,3
3,5,28,21,7,55,2,4
4,5,45,12,4,25,1,2
4,5,14,6,2,14,0,1
7,1,26,21,7,55,2,4
7,1,48,20,7,51,2,4
5,6,4,3,2,14,0,1
5,6,0,0,0,0,0,0
5,4,13,7,4,29,2,0
5,3,15,6,3,18,1,0
0,2,23,17,6,44,2,3
0,4,23,22,6,36,2,3
7,4,23,18,4,33,2,3
0,4,39,20,6,33,2,4
3,6,28,21,7,51,2,4
5,6,12,4,2,14,0,1
0,0,19,10,6,29,1,0
7,1,43,23,7,47,2,4
5,5,12,5,2,11,0,1
4,0,15,4,2,18,1,2
5,6,38,21,6,36,2,4
3,9,12,9,4,36,2,5
0,3,27,16,6,47,2,0
0,3,18,10,6,40,2,5
0,3,22,15,6,47,2,5
7,4,24,18,6,36,2,4
0,3,33,20,6,33,2,3
4,0,39,22,7,47,2,0
2,0,41,18,6,33,2,2
2,6,10,4,2,14,0,0
7,5,36,14,4,25,1,3
2,6,11,4,2,14,0,0
5,2,42,17,6,36,2,0
3,6,38,21,6,36,2,4
2,8,22,15,6,47,2,4
0,2,33,23,8,58,2,4
0,0,33,22,6,40,2,3
2,9,15,7,3,22,1,0
5,5,7,4,2,14,1,1
3,3,9,4,2,11,0,1
4,3,16,7,3,18,1,2
4,3,25,15,6,36,2,4
7,0,45,20,6,33,2,4
7,2,20,15,6,47,2,5
5,9,39,14,4,25,1,2
5,4,6,7,4,29,2,5
4,9,9,4,2,14,0,1
4,6,3,2,2,11,0,0
7,5,2,1,2,11,0,0
0,4,31,21,6,33,2,4
0,6,40,7,3,18,1,2
0,4,47,23,6,40,2,4
4,5,4,3,2,14,0,1
2,8,47,24,7,44,2,0
3,9,6,4,3,18,1,1
3,9,17,8,3,18,1,2
3,9,39,10,3,22,1,3
5,4,12,7,4,25,2,0
0,2,22,18,7,51,2,5
7,4,48,21,6,36,2,4
2,3,42,14,6,33,2,0
5,5,2,2,2,14,1,0
2,6,12,2,1,7,0,0
2,6,4,1,1,7,0,1
2,6,25,14,4,29,1,0
7,5,46,24,7,44,2,0
7,5,43,17,6,33,2,3
7,5,38,12,4,25,1,2
4,9,3,1,2,11,0,1
0,5,9,8,4,40,2,0
7,4,33,15,4,29,1,3
0,1,8,7,4,29,2,3
3,9,33,14,4,25,1,0
2,2,38,19,6,33,2,3
5,5,0,0,1,3,0,0
0,3,9,6,3,25,1,0
5,8,45,23,7,47,2,4
2,6,14,5,2,14,0,1
3,7,42,13,4,25,1,3
3,7,20,7,3,18,1,1
3,6,10,7,3,25,2,0
7,1,22,23,6,40,2,4
7,4,24,21,6,36,2,4
0,2,36,23,8,58,2,5
2,8,8,4,2,14,1,1
3,3,41,23,7,51,2,4
3,4,42,22,7,51,2,4
3,5,15,7,3,25,1,0
1,3,1,0,1,3,0,0
3,3,5,1,1,7,0,0
7,0,32,22,7,51,2,4
7,2,18,10,6,40,2,4
3,8,26,16,6,33,2,4
0,4,44,23,7,40,2,4
0,6,21,11,4,33,2,4
0,2,29,22,7,51,2,4
5,4,1,0,1,3,0,0
3,2,26,15,6,33,2,4
3,2,41,17,4,29,2,3
0,2,37,24,7,44,2,4
0,4,25,23,7,40,2,4
0,5,27,15,6,44,2,5
4,9,16,10,6,40,2,5
5,6,0,0,1,7,0,0
3,9,46,9,3,22,1,2
3,9,13,4,2,14,0,1
