,alpha_kmeans,delta_kmeans,u_width,g_kmeans,r_freq,i_kmeans,z_kmeans,redshift_width
73,4,6,5,5,1,6,11,1
74,0,8,7,13,7,20,32,11
75,0,8,9,14,10,22,33,0
76,14,4,11,25,14,29,43,9
77,15,2,10,13,6,14,21,6
78,2,13,10,19,6,13,16,0
79,4,14,11,15,6,16,23,4
80,14,12,9,19,14,29,41,17
81,5,5,13,18,10,19,28,7
82,8,17,12,21,13,22,30,0
83,8,17,10,18,13,29,44,26
84,5,8,10,15,8,17,24,8
85,9,7,6,10,5,17,26,29
86,8,14,7,15,7,17,26,6
87,5,18,7,12,7,21,30,26
88,6,21,9,13,4,13,20,4
89,12,12,9,13,7,19,28,0
90,6,11,7,10,4,14,24,0
91,4,9,11,24,14,18,21,0
92,8,7,13,20,10,19,27,5
93,7,15,11,13,4,14,21,4
94,0,9,10,18,10,19,28,5
95,15,12,10,20,13,23,30,8
96,2,14,8,8,1,7,12,0
97,7,7,12,17,13,27,37,0
98,11,6,7,13,8,21,31,28
99,2,6,13,19,9,18,26,6
100,1,2,9,19,9,19,27,6
101,6,6,9,16,9,19,29,8
102,5,14,10,20,11,18,25,8
103,5,15,8,11,3,11,18,2
104,6,14,12,26,14,23,31,10
105,5,15,9,19,11,20,28,7
106,5,15,7,10,3,9,15,2
107,0,8,6,12,6,18,28,16
108,1,8,7,14,8,21,31,10
109,10,13,4,3,0,4,8,1
110,0,8,11,18,10,19,27,6
111,1,8,12,14,4,13,20,4
112,9,18,8,12,6,16,29,2
113,0,4,10,20,13,25,38,8
114,14,4,10,20,14,26,41,11
115,11,10,8,16,6,15,23,4
116,14,8,7,13,9,21,32,28
117,7,21,9,13,7,20,31,0
118,14,10,12,18,10,18,25,6
119,14,4,9,19,14,28,36,14
120,1,8,11,19,10,19,29,6
121,12,12,8,12,6,17,27,0
122,5,16,9,18,10,19,27,8
123,14,11,11,24,13,22,29,8
124,14,11,9,19,12,21,30,9
125,6,11,4,7,3,12,20,13
126,6,11,5,6,1,8,15,0
127,0,9,9,14,5,14,21,4
128,14,4,8,12,4,13,20,2
129,14,4,6,10,4,13,20,1
130,15,4,11,20,12,22,30,7
131,6,12,5,5,1,7,11,0
132,6,12,4,8,3,13,19,3
133,10,22,8,12,4,12,18,4
134,9,6,14,16,6,15,22,6
135,9,6,9,16,6,16,24,4
136,0,9,10,18,9,19,27,6
137,0,9,10,16,6,15,22,5
138,2,6,9,20,14,29,37,11
139,7,20,8,11,3,12,18,4
140,7,11,5,6,2,10,16,0
141,0,8,9,17,14,28,37,29
142,11,11,8,10,3,9,12,0
143,6,5,10,19,11,18,27,8
144,6,6,6,7,2,9,15,1
145,5,13,12,17,6,16,24,5
146,5,14,6,7,3,12,19,0
147,7,13,12,17,8,14,18,0
148,9,6,13,17,7,19,28,4
149,10,6,7,9,2,9,14,2
150,0,9,11,20,10,19,28,6
151,11,15,4,3,0,4,9,0
152,11,12,11,15,6,15,23,4
153,14,11,13,21,11,19,25,8
154,7,21,7,13,8,20,30,20
155,6,18,11,16,8,20,29,0
156,15,10,10,17,8,18,26,7
157,15,10,12,20,11,20,29,6
158,15,10,14,20,11,19,29,6
159,7,4,9,16,12,25,35,0
160,14,11,9,21,13,22,30,8
161,1,8,5,6,1,6,10,1
162,5,17,9,19,12,20,28,8
163,4,13,6,8,2,9,14,1
164,5,17,5,5,0,4,7,1
165,4,14,12,20,11,20,27,7
166,5,8,9,19,10,18,24,0
167,0,2,14,19,10,18,25,8
168,0,2,8,13,5,14,21,3
169,15,5,9,17,13,28,44,6
170,9,7,5,6,2,11,18,0
171,7,12,7,11,6,19,28,28
172,4,14,6,12,7,19,30,25
173,14,10,8,17,9,19,29,6
174,0,9,7,8,2,9,14,1
175,0,2,11,16,9,19,31,7
176,15,4,9,17,9,19,27,6
177,15,4,9,18,8,17,25,6
178,8,7,6,8,1,8,14,1
179,8,7,12,18,9,18,25,6
180,14,10,9,10,3,11,17,2
181,14,10,10,16,8,18,25,0
182,14,10,12,19,11,20,29,7
183,14,10,9,14,5,14,21,4
184,15,11,8,15,7,15,19,0
185,1,8,7,9,2,8,13,2
186,13,7,10,22,11,19,28,7
187,2,6,10,24,14,29,45,6
188,11,10,6,10,5,16,25,0
189,11,10,6,10,5,15,25,0
190,6,12,9,20,14,27,41,10
191,0,4,11,16,7,16,24,6
192,11,11,9,19,9,18,25,8
193,5,14,9,13,4,13,20,4
194,14,11,9,18,9,18,27,6
195,11,12,4,3,0,2,5,1
196,11,10,5,6,1,9,14,0
197,10,13,6,7,1,8,13,1
198,7,3,7,11,6,19,29,0
199,8,3,2,0,0,0,2,0
200,11,13,4,3,0,4,7,0
201,11,12,8,9,3,10,16,1
202,0,2,5,5,0,5,9,1
203,7,21,7,12,7,19,30,19
204,7,21,8,16,13,27,37,25
205,14,11,8,16,9,19,28,8
206,15,8,9,16,12,26,35,33
207,14,7,9,16,7,15,23,7
208,0,8,13,23,11,19,27,8
209,14,4,6,10,4,14,22,2
210,10,14,11,17,9,19,28,6
211,11,11,4,4,0,6,12,0
212,10,14,5,4,0,4,8,1
213,10,15,6,8,2,10,16,1
214,15,14,5,7,3,11,19,0
215,5,17,9,24,13,22,31,8
216,14,12,10,19,9,19,27,7
217,5,18,12,18,9,18,26,6
218,5,16,9,14,6,15,22,5
219,14,6,9,18,14,28,42,22
220,9,19,11,22,13,22,30,8
221,0,3,8,14,10,23,33,31
222,7,14,9,17,9,19,29,4
223,5,18,7,10,4,15,24,0
224,11,18,6,12,6,19,30,14
225,4,9,7,7,1,7,13,0
226,5,9,11,17,12,26,38,2
227,2,6,11,22,14,28,39,9
228,1,6,10,23,14,28,38,8
229,2,12,5,4,0,6,11,0
230,9,6,12,18,8,18,26,6
231,0,9,12,18,8,18,27,5
232,15,12,7,13,8,21,32,8
233,15,10,5,6,3,12,20,0
234,9,7,8,14,10,23,33,0
235,1,10,9,17,13,24,33,21
236,7,21,5,7,2,10,17,0
237,6,20,5,7,2,11,18,0
238,9,12,5,7,1,8,13,1
239,14,10,8,14,11,24,40,0
240,2,6,11,13,4,13,20,4
241,5,14,11,23,13,22,31,12
242,6,14,8,18,13,24,32,11
243,6,14,8,15,13,26,46,9
244,5,13,6,7,2,9,14,1
245,7,13,5,10,5,17,28,16
246,7,13,12,20,11,17,21,0
247,7,13,6,11,7,21,36,0
248,1,8,9,13,4,14,20,4
249,14,11,13,15,5,14,22,4
250,11,13,6,8,2,9,14,1
251,14,8,9,16,12,26,37,33
252,15,11,7,10,3,10,16,2
253,12,12,4,4,1,8,14,0
254,4,13,9,16,8,18,26,7
255,14,11,11,25,14,23,31,7
256,15,12,13,16,7,16,23,5
257,5,17,10,20,14,22,31,7
258,0,9,5,9,4,15,24,0
259,9,4,6,11,5,17,27,16
260,10,18,9,20,10,18,26,7
261,4,17,10,19,10,19,28,6
262,6,9,10,21,14,26,36,9
263,8,14,10,14,5,14,22,3
264,5,17,11,24,14,23,29,0
265,6,22,9,15,6,15,23,5
266,6,6,8,16,9,19,28,6
267,11,12,8,10,3,10,15,2
268,10,14,9,12,4,12,18,3
269,6,12,6,8,2,9,15,1
270,6,12,6,7,1,8,14,0
271,15,4,10,17,12,22,30,10
272,15,4,9,18,14,23,38,9
273,2,12,12,18,8,15,20,0
274,10,15,7,9,2,10,15,2
275,10,8,8,15,12,24,36,28
276,15,6,7,15,10,23,34,17
277,0,4,8,16,9,18,25,8
278,0,4,6,10,4,15,24,1
279,14,8,13,17,11,24,35,0
280,7,10,9,19,10,19,28,6
281,6,22,13,23,14,23,31,8
282,15,11,11,14,5,15,22,4
283,15,11,8,15,7,16,28,3
284,0,11,10,16,9,19,28,4
285,6,11,5,7,3,11,19,0
286,11,21,6,7,1,8,13,1
287,6,19,10,18,8,17,25,7
288,0,6,9,18,13,27,38,32
289,0,8,9,17,11,23,33,13
290,10,14,3,0,0,0,0,0
291,15,8,9,12,4,12,19,3
292,0,2,6,6,1,7,11,1
293,7,21,8,16,11,25,34,17
294,4,17,13,21,12,21,34,6
295,6,7,10,18,8,18,27,5
296,5,6,8,14,5,14,22,5
297,5,6,11,16,6,15,22,5
298,5,6,12,15,6,16,24,3
299,5,6,13,15,5,14,21,6
300,14,4,3,2,0,2,5,0
301,10,14,10,19,10,19,26,7
302,10,14,6,7,1,6,11,2
303,10,14,4,3,0,3,5,1
304,5,13,12,24,14,26,43,7
305,8,3,8,15,11,24,34,29
306,14,10,9,21,10,18,26,6
307,13,7,10,16,6,15,23,4
308,9,21,12,23,14,25,30,12
309,1,14,6,11,6,18,30,17
310,15,14,5,9,4,15,24,20
311,4,14,5,5,0,5,9,2
312,5,17,9,21,12,20,28,9
313,5,16,12,17,10,19,28,5
314,5,18,5,6,1,8,14,1
315,2,6,9,20,13,25,36,9
316,2,6,9,20,14,26,37,10
317,5,18,10,15,6,15,22,5
318,4,7,5,5,1,8,15,0
319,4,8,6,8,3,12,20,0
320,5,23,6,11,6,17,26,25
321,5,23,7,11,6,17,27,0
322,0,9,6,8,2,9,15,2
323,7,14,10,18,9,19,28,6
324,4,13,7,18,11,19,29,8
325,0,9,8,15,8,17,29,7
326,10,20,8,16,9,19,27,7
327,11,13,9,11,3,11,17,2
328,14,6,8,16,12,25,34,24
329,15,11,5,6,1,9,16,0
330,15,11,9,21,14,23,31,8
331,9,13,8,15,7,17,25,7
332,7,25,5,8,2,10,17,2
333,2,5,6,11,6,18,27,28
334,14,8,4,6,1,10,17,0
335,5,13,11,9,2,9,14,2
336,5,14,11,15,7,16,23,0
337,5,14,10,20,14,27,44,9
338,5,13,11,19,10,19,28,7
339,15,14,10,14,5,15,23,0
340,14,11,11,23,14,23,30,10
341,14,12,9,14,5,14,20,4
342,5,16,9,17,10,20,28,8
343,15,15,8,14,9,22,32,0
344,0,8,13,17,6,16,24,4
345,0,8,13,18,9,18,26,6
346,13,7,14,17,8,18,26,6
347,1,4,9,19,12,23,35,11
348,11,12,9,12,4,11,18,4
349,8,3,7,12,7,21,31,28
350,14,11,11,16,8,18,27,0
351,15,4,10,20,13,24,34,9
352,14,10,10,22,13,20,28,8
353,15,8,14,12,4,12,19,3
354,1,8,12,16,6,16,24,4
355,1,8,11,14,5,14,20,4
356,14,4,7,10,4,13,23,1
357,11,13,4,4,0,5,9,1
358,6,6,5,5,1,8,14,1
359,11,18,9,19,14,27,50,19
360,4,16,8,10,3,10,15,2
361,8,7,6,7,1,8,13,1
362,8,7,6,7,1,8,13,1
363,7,15,10,15,5,15,22,5
364,7,15,11,18,9,19,26,7
365,7,15,12,20,13,22,31,7
366,6,12,9,20,14,27,37,10
367,15,4,9,14,5,15,23,3
368,15,6,7,14,9,22,34,16
369,0,9,5,5,1,6,11,1
370,0,9,9,13,4,13,20,3
371,5,5,6,7,1,7,11,2
372,15,10,9,16,11,23,34,8
373,10,18,3,2,0,5,10,0
374,11,10,7,13,8,21,32,12
375,0,6,7,14,9,22,33,23
376,0,6,9,18,14,27,39,19
377,0,6,7,14,10,22,33,22
378,9,9,11,22,14,16,18,0
379,7,25,4,3,0,3,7,0
380,5,12,10,24,14,27,41,19
381,11,17,6,8,3,13,20,0
382,6,19,13,19,10,19,27,6
383,6,21,7,9,2,9,15,2
384,5,14,8,21,14,23,31,10
385,14,11,10,16,6,15,23,6
386,10,14,4,2,0,2,4,1
387,15,15,12,14,7,18,30,0
388,14,8,5,5,0,4,8,1
389,0,8,12,24,12,20,29,9
390,13,7,5,5,0,5,9,1
391,15,10,10,19,10,18,25,7
392,14,4,12,21,14,25,38,22
393,1,8,9,14,5,14,21,4
394,0,8,9,18,13,26,38,0
395,0,8,9,16,12,25,36,27
396,5,5,9,18,9,19,27,6
397,4,13,13,18,9,19,28,0
398,14,12,8,14,5,14,21,3
399,7,6,9,17,7,16,24,7
400,8,7,7,10,3,11,17,2
401,7,7,6,6,0,5,9,1
402,8,7,7,8,2,9,15,1
403,7,14,9,18,9,18,27,6
404,5,18,8,14,9,21,31,29
405,5,18,10,14,6,14,21,0
406,6,9,10,19,13,24,34,11
407,6,9,10,19,10,19,27,7
408,6,11,6,10,5,16,26,0
409,5,5,9,15,5,15,22,4
410,14,4,11,7,1,12,17,0
411,14,4,6,7,2,9,14,1
412,10,13,10,16,6,16,24,4
413,10,14,7,9,2,10,15,2
414,14,11,9,21,14,23,31,10
415,6,11,12,18,10,16,20,0
416,6,12,10,18,13,26,37,9
417,2,6,9,22,13,23,31,10
418,2,15,5,6,2,9,16,0
419,6,20,7,8,1,8,13,2
420,4,13,10,18,10,20,29,4
421,0,14,10,15,6,17,26,2
422,14,12,10,19,9,19,28,5
423,0,4,11,24,14,27,44,17
424,1,4,9,14,6,15,22,6
425,6,22,12,22,14,26,30,14
426,6,19,6,7,1,8,13,0
427,7,20,11,17,7,17,25,5
428,7,20,6,8,2,10,15,1
429,7,22,8,11,3,12,18,3
430,9,22,9,22,13,21,29,8
431,8,22,7,9,2,9,15,2
432,7,7,12,20,10,19,29,6
433,6,14,12,21,14,26,35,12
434,5,15,11,22,13,22,31,7
435,7,13,9,14,11,24,37,0
436,15,8,11,16,10,20,27,6
437,15,8,11,15,5,15,22,5
438,1,8,12,15,6,15,22,6
439,14,10,10,17,8,18,26,5
440,0,8,8,11,3,11,17,3
441,13,5,10,21,14,27,37,7
442,8,19,5,6,1,8,13,0
443,14,10,9,23,12,21,29,8
444,15,8,9,16,12,24,34,8
445,15,8,9,14,8,20,31,0
446,0,2,7,10,3,10,16,3
447,6,19,8,17,13,28,38,28
448,5,6,9,16,6,15,23,0
449,4,13,7,13,8,21,35,14
450,2,13,5,6,1,6,11,0
451,10,16,10,21,14,23,29,9
452,14,11,11,14,5,14,22,4
453,4,13,6,10,5,16,25,20
454,15,10,8,16,7,16,23,6
455,15,11,13,22,14,24,33,8
456,0,9,12,20,9,19,26,6
457,8,7,9,19,8,17,23,8
458,8,7,5,5,0,6,10,1
459,14,4,10,22,14,30,41,10
460,0,2,9,13,5,14,21,4
461,9,6,10,18,10,18,25,8
462,15,4,8,16,9,18,27,8
463,6,12,10,20,14,25,37,10
464,4,10,11,13,5,14,22,0
465,8,16,3,2,0,4,8,0
466,0,11,9,16,13,26,39,0
467,11,23,7,11,5,16,26,0
468,11,20,10,20,12,21,29,8
469,10,23,10,22,11,19,29,7
470,10,22,8,10,3,10,15,2
471,7,11,5,7,2,11,17,0
472,11,7,3,5,2,11,19,7
473,6,20,10,17,7,17,26,5
474,6,20,9,16,10,22,33,3
475,7,20,6,6,1,7,12,1
476,14,4,9,21,14,27,44,10
477,11,12,12,20,10,18,26,7
478,0,5,9,16,13,28,36,27
479,0,5,10,17,13,28,38,32
480,5,15,9,13,4,13,20,3
481,5,15,11,22,9,17,25,8
482,14,4,10,20,14,26,42,9
483,1,8,13,23,14,22,29,8
484,9,6,13,20,11,20,29,7
485,0,9,10,18,8,18,27,6
486,8,18,5,6,1,8,13,1
487,8,18,8,12,4,12,19,3
488,8,18,11,15,5,15,22,5
489,9,18,7,10,3,10,15,2
490,2,13,5,4,0,6,12,0
491,15,6,12,21,12,21,30,0
492,14,4,11,19,14,24,37,12
493,10,14,5,7,2,11,18,1
494,14,11,10,16,8,19,27,4
495,0,14,7,12,7,19,29,8
496,5,17,13,23,12,21,29,9
497,14,11,9,20,14,23,31,11
498,4,15,6,8,3,11,17,2
499,0,8,10,13,6,18,28,0
500,0,8,6,11,5,17,27,12
501,6,18,7,8,3,11,18,0
502,0,3,7,15,11,24,35,17
503,15,11,3,2,0,4,8,0
504,4,16,10,16,6,16,24,5
505,12,12,7,12,5,16,25,0
506,8,7,9,17,8,17,26,7
507,7,7,5,5,0,6,10,1
508,11,11,6,8,2,8,13,1
509,11,11,13,18,10,19,28,6
510,0,2,8,12,4,12,18,3
511,10,11,5,8,4,13,22,20
512,6,19,9,14,5,15,22,5
513,15,11,3,1,0,1,3,0
514,14,10,12,22,13,22,30,8
515,10,15,6,7,1,8,13,1
516,0,8,10,19,10,19,28,6
517,0,11,6,7,1,8,12,1
518,1,10,9,23,11,20,29,8
519,9,19,6,12,7,19,30,25
520,6,18,11,19,10,19,27,6
521,6,18,9,12,4,12,18,4
522,6,19,9,21,12,22,30,7
523,6,19,8,16,8,17,24,6
524,11,12,11,16,8,18,28,1
525,5,19,7,9,2,9,13,1
526,15,10,12,20,11,19,28,7
527,14,10,9,16,6,15,22,5
528,9,4,5,10,5,16,25,11
529,5,13,11,16,5,15,22,5
530,5,13,8,10,3,10,16,2
531,5,14,10,18,8,18,26,6
532,5,14,8,14,5,13,20,4
533,5,14,11,16,7,16,24,6
534,4,14,11,20,13,22,30,6
535,5,17,5,6,1,6,11,2
536,14,11,11,17,7,17,24,4
537,10,14,3,1,0,1,2,0
538,15,8,9,11,4,12,18,2
539,0,8,7,9,2,9,13,2
540,1,8,11,14,4,13,21,4
541,0,4,5,7,3,11,19,0
542,0,2,12,16,6,16,24,5
543,7,21,7,12,7,19,29,5
544,7,21,8,16,12,25,38,15
545,6,18,9,13,5,13,19,0
546,5,6,10,18,8,18,26,5
547,13,7,9,16,10,19,28,8
548,5,8,7,9,3,10,16,2
549,4,17,5,6,2,10,16,0
550,6,9,9,20,14,26,37,10
551,7,18,13,23,14,23,31,8
552,5,9,10,14,6,14,21,0
553,8,15,9,13,4,13,20,4
554,14,4,13,19,10,20,29,6
555,7,7,9,17,8,18,26,6
556,2,6,13,20,14,22,34,9
557,2,6,13,19,13,29,42,10
558,7,20,5,7,1,8,14,1
559,7,21,12,18,7,16,22,7
560,0,9,13,20,10,19,28,7
561,0,14,9,24,14,23,31,10
562,15,4,11,19,13,23,31,9
563,15,4,9,16,9,18,26,0
564,10,15,10,18,8,17,25,6
565,5,5,11,18,9,18,27,6
566,5,5,8,15,5,15,22,5
567,7,7,8,15,8,17,26,5
568,15,11,9,16,13,26,36,0
569,0,11,8,16,13,26,37,25
570,7,25,9,18,8,17,25,6
571,14,4,11,22,14,26,45,8
572,10,14,7,9,2,9,15,2
573,11,13,6,8,2,10,16,2
574,11,10,4,2,0,2,5,0
575,6,18,13,19,9,18,27,7
576,6,18,13,16,7,16,24,6
577,6,21,11,24,14,24,31,0
578,10,15,7,8,3,10,16,1
579,10,13,6,6,1,6,11,1
580,15,14,9,16,11,27,35,4
581,0,6,8,14,9,22,34,13
582,7,25,7,9,2,9,15,2
583,7,21,8,17,13,27,38,8
584,7,21,9,17,14,29,37,25
585,6,18,7,12,6,18,30,0
586,14,4,6,6,1,7,11,1
587,14,11,11,14,5,15,22,4
588,14,11,11,19,8,18,27,5
589,4,15,4,5,1,8,14,0
590,5,14,11,19,11,20,28,9
591,14,10,9,17,10,19,26,0
592,15,8,11,19,10,20,29,6
593,0,8,12,17,7,17,24,6
594,12,12,6,10,5,16,25,0
595,11,6,6,11,5,16,25,12
596,2,6,12,14,5,14,21,4
597,8,15,10,18,9,18,27,6
598,4,16,8,13,6,17,26,0
599,8,7,5,4,0,4,8,1
600,8,7,4,2,0,2,5,0
601,9,7,4,2,0,2,4,0
602,15,4,12,22,13,23,31,8
603,15,10,11,11,5,15,24,0
604,14,13,8,15,9,22,31,3
605,15,12,7,9,3,12,18,0
606,15,11,6,9,3,13,20,0
607,15,10,6,10,5,17,26,29
608,7,20,6,7,1,7,12,2
609,6,18,13,16,7,17,24,4
610,10,6,11,18,8,18,27,6
611,14,6,7,12,6,18,28,17
612,15,6,7,15,11,23,35,19
613,15,8,9,16,12,25,36,28
614,5,5,12,17,10,19,29,6
615,1,8,9,15,6,16,24,3
616,1,8,10,17,8,17,25,6
617,6,18,6,9,2,10,15,3
618,6,18,12,19,11,21,29,6
619,7,19,14,19,8,17,25,7
620,0,11,8,16,13,27,36,27
621,10,11,6,7,2,8,13,2
622,8,4,9,16,12,26,35,28
623,14,4,10,21,14,25,37,10
624,2,13,4,4,1,9,16,0
625,0,5,11,19,14,28,39,10
626,11,6,7,9,3,13,20,0
627,2,6,13,13,8,17,31,10
628,0,2,14,17,9,19,30,6
629,0,9,7,9,3,10,16,2
630,14,10,11,13,5,14,21,4
631,0,8,7,12,7,20,30,32
632,10,14,7,8,2,9,15,1
633,10,14,11,19,9,18,27,6
634,8,3,8,13,8,22,32,0
635,11,10,7,9,2,9,14,1
636,6,13,10,22,14,27,37,11
637,0,6,7,14,10,22,34,21
638,0,6,7,12,7,19,31,0
639,7,21,7,15,11,24,38,15
640,7,21,8,16,12,25,38,17
641,11,13,7,9,3,10,15,2
642,0,5,8,15,9,21,31,20
643,15,8,12,14,5,14,21,4
644,15,6,6,10,4,15,23,25
645,14,4,10,25,14,29,43,9
646,14,4,6,6,0,6,9,1
647,14,4,6,10,4,15,23,1
648,14,4,9,24,14,22,30,8
649,10,14,10,13,4,13,20,4
650,10,14,9,18,8,17,25,5
651,10,14,5,4,0,5,9,0
652,13,7,6,5,0,6,11,0
653,6,7,14,17,10,19,28,5
654,6,9,9,18,12,22,33,9
655,7,15,9,19,7,16,23,7
656,15,4,10,20,14,28,39,0
657,15,4,10,19,10,18,27,7
658,7,7,3,1,0,1,3,0
659,7,7,6,8,2,9,14,1
660,2,9,4,3,0,3,7,0
661,11,10,5,10,4,15,23,4
662,10,20,11,18,11,20,27,8
663,7,21,10,18,10,19,29,6
664,15,10,10,12,6,17,27,0
665,11,11,4,4,0,7,12,0
666,6,6,5,7,2,9,15,1
667,6,6,12,19,11,20,30,6
668,15,10,14,14,5,14,20,3
669,14,6,9,17,7,17,26,6
670,0,11,8,16,11,24,36,14
671,9,12,5,6,2,10,16,0
672,8,13,6,7,2,8,13,1
673,7,20,4,6,2,10,17,0
674,7,22,9,15,9,21,38,3
675,5,14,7,7,1,7,12,1
676,6,14,10,20,14,27,37,3
677,5,15,5,7,2,11,18,0
678,0,8,9,17,14,28,38,24
679,11,13,6,8,2,8,14,2
680,10,14,11,21,14,22,31,7
681,15,14,6,11,5,17,26,18
682,0,15,9,13,7,20,32,0
683,0,8,9,17,6,13,19,7
684,13,7,11,16,6,16,24,4
685,14,10,14,20,11,20,29,6
686,15,11,14,23,13,21,30,9
687,14,11,11,16,6,15,23,5
688,7,21,8,18,13,27,37,14
689,6,18,7,14,10,22,35,23
690,9,11,10,14,5,13,19,0
691,7,4,9,18,14,29,40,6
692,14,4,12,17,8,17,24,6
693,14,4,12,19,3,22,14,2
694,15,14,7,15,10,23,35,15
695,0,14,11,21,13,22,29,0
696,0,14,8,15,12,25,45,0
697,5,8,6,8,2,10,16,1
698,4,13,10,17,12,25,35,0
699,11,6,5,5,1,8,14,0
700,6,11,8,15,11,24,35,28
701,8,15,10,15,8,18,27,7
702,4,14,7,14,9,23,35,17
703,4,16,7,15,10,23,35,16
704,15,11,9,17,9,19,29,7
705,6,12,9,18,13,25,35,9
706,8,25,5,5,1,8,14,0
707,0,8,9,17,13,26,42,0
708,2,16,8,13,7,19,30,0
709,2,12,5,4,0,7,13,0
710,8,13,9,16,7,16,23,6
711,14,8,12,17,13,25,36,0
712,11,11,7,9,2,6,8,0
713,15,6,11,19,10,19,28,6
714,15,6,11,18,8,18,25,5
715,0,11,8,16,12,24,36,9
716,10,18,5,6,2,9,16,0
717,11,15,3,2,0,3,6,0
718,15,12,9,26,14,22,30,11
719,8,3,12,17,10,18,25,0
720,8,3,6,11,5,16,26,18
721,4,16,5,5,1,8,14,1
722,0,11,10,20,11,20,29,7
723,0,5,11,16,12,26,36,0
724,5,14,9,13,4,13,19,4
725,5,14,12,18,10,19,27,6
726,11,12,6,7,1,7,12,1
727,15,8,9,11,3,11,17,3
728,13,7,10,17,9,18,27,7
729,1,4,9,20,14,26,40,10
730,0,4,10,19,14,26,38,9
731,9,9,10,16,12,26,39,32
732,7,25,5,7,3,11,17,1
733,2,5,6,5,0,6,12,0
734,7,21,7,14,10,23,34,26
735,6,19,11,19,10,19,27,0
736,15,10,10,17,11,20,32,7
737,15,14,12,17,10,20,29,3
738,11,12,4,3,0,3,7,1
739,15,8,10,13,4,12,19,4
740,0,8,11,16,6,15,22,5
741,4,14,9,17,6,16,24,5
742,13,4,7,13,7,20,30,31
743,14,6,9,17,13,27,40,12
744,0,8,7,14,10,22,33,19
745,4,16,6,6,1,7,12,0
746,8,17,8,16,12,25,37,23
747,5,17,10,14,6,13,18,0
748,14,14,1,0,0,0,2,0
749,7,7,9,18,9,18,26,7
750,8,7,5,6,1,6,11,1
751,8,7,9,19,8,17,25,7
752,15,4,9,12,4,13,19,3
753,15,4,9,15,6,17,25,3
754,15,4,11,14,6,16,24,3
755,11,10,8,14,9,21,32,0
756,6,19,8,21,11,18,26,9
757,7,20,12,18,9,18,26,7
758,0,8,8,16,12,25,36,11
759,15,11,11,20,12,20,29,6
760,6,12,9,19,14,28,39,11
761,8,12,12,14,5,15,23,4
762,8,12,7,9,3,10,16,1
763,14,4,9,19,14,28,38,12
764,14,4,14,18,14,27,46,10
765,11,13,5,6,2,9,15,1
766,10,14,3,1,0,1,2,0
767,11,10,7,11,5,16,27,0
768,10,8,7,9,3,12,20,0
769,2,6,8,17,12,23,33,6
770,1,10,8,20,10,19,29,5
