,alpha_freq,delta_width,u_freq,g_freq,r_width,i_freq,z_width,redshift_width
130,4,1,4,4,4,3,4,3
131,1,3,0,0,1,0,1,0
132,2,3,0,1,2,1,2,1
133,3,6,2,1,2,1,2,1
134,3,1,4,2,3,1,3,2
135,3,1,2,2,2,2,3,2
136,0,3,3,3,3,3,3,2
137,0,3,3,2,3,1,3,2
138,0,1,3,4,4,4,5,5
139,2,6,2,1,2,1,2,1
140,2,3,0,0,1,0,2,0
141,0,2,3,3,4,4,5,12
142,4,3,2,1,2,0,1,0
143,1,1,3,4,3,2,3,3
144,1,1,0,0,1,0,2,0
145,1,4,4,3,2,2,3,2
146,1,4,0,0,2,1,2,0
147,2,4,4,3,3,1,2,0
148,3,1,4,3,3,3,3,2
149,3,1,1,1,1,0,2,1
150,0,3,4,4,3,3,3,2
151,4,4,0,0,0,0,1,0
152,4,3,4,2,2,1,3,2
153,4,3,4,4,3,3,3,3
154,2,6,1,1,3,3,4,9
155,1,5,4,2,3,3,3,0
156,4,3,3,3,3,2,3,3
157,4,3,4,4,3,3,4,2
158,4,3,4,4,3,3,3,2
159,2,1,2,3,3,4,4,0
160,4,3,2,4,4,4,4,3
161,0,2,0,0,1,0,1,0
162,1,5,3,4,3,3,3,3
163,1,4,0,0,1,0,2,0
164,1,5,0,0,1,0,1,0
165,1,4,4,4,3,3,3,3
166,1,2,3,4,3,2,3,0
167,0,1,4,4,3,2,3,3
168,0,1,2,2,2,1,2,1
169,4,1,2,3,4,4,6,2
170,3,2,0,0,1,1,2,0
171,2,3,1,1,3,3,3,12
172,0,4,1,1,3,3,4,11
173,4,3,2,3,3,3,4,3
174,0,3,1,0,1,0,2,0
175,0,0,4,3,3,3,4,3
176,4,1,2,3,3,3,3,2
177,4,1,2,3,3,2,3,2
178,2,2,1,0,1,0,1,0
179,2,2,4,3,3,2,3,2
180,4,3,2,1,2,1,2,1
181,4,3,3,3,3,2,3,0
182,4,3,4,4,3,3,4,3
183,4,3,2,2,2,1,2,1
184,4,3,2,2,3,1,2,0
185,0,2,1,1,1,0,1,1
186,4,2,3,4,3,3,3,3
187,0,1,3,4,5,4,6,2
188,3,3,1,1,2,2,3,0
189,3,3,1,1,2,2,3,0
190,2,3,3,4,4,4,5,4
191,0,1,4,3,3,2,3,2
192,4,3,2,4,3,2,3,3
193,1,4,3,2,2,1,2,1
194,4,3,2,3,3,2,3,2
195,3,3,0,0,0,0,0,0
196,4,3,0,0,1,0,2,0
197,3,4,1,0,1,0,1,0
198,2,1,1,1,3,2,4,0
199,2,1,0,0,0,0,0,0
200,3,4,0,0,0,0,1,0
201,4,3,2,1,1,1,2,0
202,0,0,0,0,1,0,1,0
203,2,6,1,1,3,3,4,8
204,2,6,2,3,4,4,5,11
205,4,3,2,3,3,3,3,3
206,4,2,2,3,3,4,4,14
207,4,2,3,3,3,2,3,3
208,0,2,4,4,3,3,3,3
209,4,1,1,1,2,1,3,1
210,3,4,4,3,3,3,3,2
211,4,3,0,0,1,0,1,0
212,3,4,0,0,1,0,1,0
213,3,4,1,1,1,0,2,0
214,4,4,0,0,2,1,2,0
215,1,5,3,4,4,4,4,3
216,4,3,3,4,3,3,3,3
217,1,5,4,3,3,2,3,2
218,1,4,2,2,2,1,3,2
219,4,1,3,3,4,4,5,10
220,3,5,4,4,4,3,4,3
221,0,1,1,2,3,4,4,13
222,2,4,3,3,3,3,4,1
223,1,5,1,1,2,1,3,0
224,4,5,1,1,3,3,4,6
225,1,2,1,0,1,0,1,0
226,1,3,4,3,3,4,5,1
227,0,1,4,4,4,4,5,4
228,0,1,3,4,4,4,5,3
229,0,3,0,0,1,0,1,0
230,3,1,4,3,3,2,3,2
231,0,3,4,3,3,2,3,2
232,4,3,1,2,3,3,4,3
233,4,3,0,0,2,1,2,0
234,3,2,2,2,3,4,4,0
235,0,3,2,3,4,4,4,9
236,2,6,0,0,1,0,2,0
237,2,6,0,0,1,1,2,0
238,3,3,0,0,1,0,1,0
239,4,3,1,2,3,4,5,0
240,0,1,3,2,2,1,2,1
241,1,4,4,4,4,4,4,5
242,1,4,2,3,4,4,4,4
243,1,4,2,2,4,4,6,4
244,1,4,1,0,1,0,2,0
245,2,4,0,1,2,2,3,7
246,2,4,4,4,3,2,3,0
247,2,4,1,1,3,3,4,0
248,0,2,3,2,2,1,2,1
249,4,3,4,2,2,1,3,1
250,3,4,1,0,1,0,2,0
251,4,2,3,3,4,4,5,14
252,4,3,1,1,2,1,2,1
253,4,3,0,0,1,0,2,0
254,1,4,3,2,3,2,3,3
255,4,3,4,4,4,4,4,3
256,4,3,4,3,3,2,3,2
257,1,5,3,4,4,3,4,3
258,0,3,0,1,2,1,3,0
259,3,1,0,1,2,2,3,7
260,3,5,2,4,3,2,3,3
261,1,5,3,4,3,3,3,2
262,1,3,3,4,4,4,4,4
263,2,4,3,2,2,1,3,1
264,1,5,4,4,4,4,4,0
265,2,6,3,2,2,1,3,2
266,2,2,2,3,3,3,3,2
267,4,3,1,1,1,0,2,1
268,3,4,3,1,2,1,2,1
269,1,3,1,1,1,0,2,0
270,1,3,0,0,1,0,2,0
271,4,1,3,3,3,3,4,4
272,4,1,2,3,4,4,5,4
273,0,3,4,3,3,1,2,0
274,3,4,1,1,1,0,2,1
275,3,2,2,2,3,4,4,12
276,4,1,1,2,3,4,4,7
277,0,1,2,3,3,2,3,3
278,0,1,0,1,2,1,3,0
279,4,2,4,3,3,4,4,0
280,2,3,2,4,3,3,3,2
281,2,6,4,4,4,4,4,3
282,4,3,4,2,2,1,3,2
283,4,3,2,2,3,2,3,1
284,0,3,3,2,3,3,3,2
285,1,3,0,0,1,1,2,0
286,3,6,1,0,1,0,1,0
287,1,6,3,3,3,2,3,3
288,0,1,2,4,4,4,5,14
289,0,2,2,3,3,4,4,6
290,3,4,0,0,0,0,0,0
291,4,2,3,1,2,1,2,1
292,0,0,1,0,1,0,1,0
293,2,6,2,2,3,4,4,7
294,1,5,4,4,3,3,4,2
295,1,2,3,3,3,2,3,2
296,1,2,2,2,2,1,3,2
297,1,2,4,2,3,1,3,2
298,1,2,4,2,3,2,3,1
299,1,2,4,2,2,1,2,2
300,4,1,0,0,0,0,0,0
301,3,4,3,4,3,3,3,3
302,3,4,1,0,1,0,1,0
303,3,4,0,0,0,0,0,0
304,1,4,4,4,4,4,5,3
305,2,1,2,2,3,4,4,13
306,4,3,2,4,3,2,3,2
307,4,2,3,2,2,2,3,2
308,3,6,4,4,4,4,4,5
309,0,4,0,1,3,2,4,7
310,4,4,0,1,2,1,3,8
311,1,4,0,0,1,0,1,0
312,1,5,3,4,3,3,3,3
313,1,5,4,3,3,3,3,2
314,1,5,0,0,1,0,2,0
315,0,1,3,4,4,4,5,4
316,0,1,3,4,4,4,5,4
317,1,5,3,2,2,1,3,2
318,1,2,0,0,1,0,2,0
319,1,2,0,0,2,1,2,0
320,1,7,1,1,2,2,3,11
321,1,7,1,1,2,2,3,0
322,0,3,1,1,1,0,2,1
323,2,4,3,3,3,3,3,2
324,1,4,1,3,3,3,4,3
325,0,3,2,2,3,2,4,3
326,3,6,2,3,3,2,3,3
327,4,4,2,1,2,1,2,1
328,4,1,2,2,3,4,4,10
329,4,3,0,0,1,0,2,0
330,4,3,3,4,4,4,4,3
331,3,4,2,2,3,2,3,3
332,2,7,0,0,1,0,2,1
333,0,1,1,1,2,2,3,12
334,4,2,0,0,1,0,2,0
335,1,4,4,1,1,0,2,1
336,1,4,4,2,3,2,3,0
337,1,4,3,4,5,4,6,4
338,1,4,4,4,3,3,3,3
339,4,4,3,2,2,1,3,0
340,4,3,4,4,4,4,4,4
341,4,3,2,2,2,1,2,1
342,1,5,2,3,3,3,3,3
343,4,4,2,2,3,3,4,0
344,0,2,4,3,3,2,3,2
345,0,2,4,3,3,2,3,2
346,4,2,4,3,3,2,3,2
347,0,1,3,4,4,4,4,5
348,4,3,2,1,2,1,2,1
349,2,1,1,1,3,3,4,12
350,4,3,4,2,3,2,3,0
351,4,1,3,4,4,4,4,4
352,4,3,3,4,4,3,3,3
353,4,2,4,1,2,1,2,1
354,0,2,4,2,2,2,3,1
355,0,2,4,2,2,1,2,2
356,4,1,1,1,2,1,3,0
357,3,4,0,0,1,0,1,0
358,1,2,0,0,1,0,2,0
359,4,5,3,4,4,4,6,8
360,1,5,1,1,1,0,2,1
361,2,2,1,0,1,0,1,0
362,2,2,1,0,1,0,1,0
363,2,4,3,2,2,1,3,2
364,2,4,4,3,3,2,3,3
365,2,4,4,4,4,3,4,3
366,1,3,3,4,4,4,5,4
367,4,1,3,2,2,1,3,1
368,4,1,1,2,3,4,4,7
369,0,2,0,0,1,0,1,0
370,0,3,2,1,2,1,2,1
371,1,1,0,0,1,0,1,1
372,4,3,2,2,3,4,4,3
373,3,5,0,0,1,0,1,0
374,3,3,1,2,3,3,4,5
375,0,1,1,2,3,3,4,10
376,0,1,3,3,4,4,5,8
377,0,1,1,2,3,4,4,10
378,3,2,4,4,4,2,2,0
379,2,7,0,0,0,0,1,0
380,1,3,3,4,4,4,5,8
381,4,5,1,0,2,1,2,0
382,1,5,4,4,3,3,3,2
383,1,6,1,1,1,0,2,1
384,1,4,2,4,4,4,4,4
385,4,3,3,3,3,1,3,2
386,3,4,0,0,0,0,0,0
387,4,4,4,2,3,2,4,0
388,4,2,0,0,1,0,1,0
389,0,2,4,4,3,3,3,4
390,4,2,0,0,1,0,1,0
391,4,3,3,4,3,2,3,3
392,4,1,4,4,4,4,5,9
393,0,2,2,2,2,1,3,1
394,0,2,3,3,4,4,5,0
395,0,2,2,3,3,4,5,11
396,1,1,2,3,3,3,3,2
397,1,4,4,3,3,3,3,0
398,4,3,2,2,2,1,3,1
399,2,2,2,3,3,2,3,3
400,2,2,1,1,2,1,2,1
401,2,2,0,0,1,0,1,0
402,2,2,1,1,1,0,2,0
403,2,4,2,3,3,2,3,2
404,1,5,2,2,3,3,4,12
405,1,5,3,2,2,1,2,0
406,1,3,3,4,4,4,4,5
407,1,3,3,4,3,3,3,3
408,2,3,1,1,2,2,3,0
409,1,1,2,2,2,1,3,2
410,4,1,4,0,1,1,2,0
411,4,1,0,0,1,0,2,0
412,3,4,3,2,2,2,3,1
413,3,4,1,1,1,0,2,0
414,4,3,2,4,4,4,4,4
415,2,3,4,3,3,2,2,0
416,1,3,3,3,4,4,5,4
417,0,1,2,4,4,4,4,4
418,0,4,0,0,1,0,2,0
419,2,6,1,0,1,0,1,1
420,1,4,3,3,3,3,3,1
421,0,4,3,2,3,2,3,1
422,4,4,3,4,3,3,3,2
423,0,1,4,4,4,4,6,7
424,0,1,3,2,2,1,3,2
425,2,6,4,4,4,4,4,6
426,1,5,0,0,1,0,1,0
427,2,6,4,3,3,2,3,2
428,2,6,1,0,1,0,2,0
429,2,6,2,1,2,1,2,1
430,3,6,3,4,4,3,4,3
431,2,6,1,1,1,0,2,1
432,2,2,4,4,3,3,3,2
433,1,4,4,4,4,4,4,5
434,1,4,4,4,4,3,4,3
435,2,4,2,2,3,4,5,0
436,4,2,3,3,3,3,3,2
437,4,2,4,2,2,1,3,2
438,0,2,4,2,2,1,3,3
439,4,3,3,3,3,2,3,2
440,0,2,2,1,2,1,2,1
441,4,1,3,4,4,4,5,3
442,2,5,0,0,1,0,1,0
443,4,3,2,4,3,3,3,3
444,4,2,2,2,4,4,4,3
445,4,2,2,2,3,3,4,0
446,0,0,1,1,2,1,2,1
447,1,5,2,3,4,4,5,12
448,1,2,2,2,3,1,3,0
449,1,4,1,2,3,3,4,6
450,0,4,0,0,1,0,1,0
451,3,5,3,4,4,4,4,4
452,4,3,4,2,2,1,3,1
453,0,4,0,1,2,2,3,9
454,4,3,2,2,3,2,3,2
455,4,3,4,4,4,4,4,3
456,0,3,4,4,3,3,3,2
457,2,2,2,4,3,2,3,3
458,2,2,0,0,1,0,1,0
459,4,1,3,4,4,4,5,4
460,0,0,3,2,2,1,2,1
461,3,1,3,3,3,2,3,3
462,4,1,2,3,3,2,3,3
463,2,3,3,4,4,4,5,4
464,1,3,4,1,2,1,3,0
465,2,4,0,0,0,0,1,0
466,0,3,2,3,4,4,5,0
467,4,7,1,1,2,2,3,0
468,3,6,3,4,3,3,4,3
469,3,7,3,4,3,3,4,3
470,3,6,1,1,1,0,2,1
471,2,3,0,0,1,1,2,0
472,4,2,0,0,1,1,2,3
473,2,6,3,3,3,2,3,2
474,2,6,3,2,3,3,4,1
475,2,6,0,0,1,0,1,0
476,4,1,3,4,4,4,5,4
477,4,3,4,4,3,2,3,3
478,0,1,3,3,4,4,4,12
479,0,1,3,3,4,4,5,14
480,1,4,2,1,2,1,2,1
481,1,4,4,4,3,2,3,3
482,4,1,3,4,4,4,5,4
483,0,2,4,4,4,3,4,3
484,3,2,4,4,3,3,4,3
485,0,2,3,3,3,2,3,2
486,2,5,0,0,1,0,1,0
487,2,5,2,1,2,1,2,1
488,2,5,4,2,2,1,3,2
489,3,5,1,1,2,1,2,0
490,0,4,0,0,1,0,1,0
491,4,1,4,4,3,3,4,0
492,4,1,4,4,4,4,5,5
493,3,4,0,0,1,1,2,0
494,4,3,3,3,3,3,3,2
495,0,4,1,1,3,3,4,3
496,1,5,4,4,4,3,4,4
497,4,3,2,4,4,4,4,5
498,1,4,0,0,1,1,2,1
499,0,2,3,2,3,2,3,0
500,0,2,0,1,2,2,3,5
501,2,5,1,1,2,1,2,0
502,0,1,1,2,3,4,4,7
503,4,3,0,0,0,0,1,0
504,1,5,3,3,3,2,3,2
505,4,3,1,1,2,2,3,0
506,2,2,3,3,3,2,3,3
507,2,2,0,0,1,0,1,0
508,4,3,1,0,1,0,1,0
509,4,3,4,4,3,3,3,2
510,0,0,1,1,2,1,2,1
511,3,3,0,1,2,1,3,8
512,1,6,2,2,2,1,3,2
513,4,3,0,0,0,0,0,0
514,4,3,4,4,4,3,4,3
515,3,4,0,0,1,0,1,0
516,0,2,3,4,3,3,3,2
517,0,3,0,0,1,0,1,0
518,0,3,2,4,3,3,4,3
519,3,5,1,1,3,3,4,11
520,1,5,4,4,3,3,3,3
521,1,5,3,1,2,1,2,1
522,1,5,3,4,3,3,4,3
523,1,5,2,3,3,2,3,3
524,4,3,4,2,3,2,3,0
525,1,5,1,1,1,0,1,0
526,4,3,4,4,3,3,3,3
527,4,3,2,2,3,1,3,2
528,3,1,0,1,2,2,3,5
529,1,4,4,3,2,1,3,2
530,1,4,1,1,2,1,2,1
531,1,4,3,3,3,2,3,2
532,1,4,2,2,2,1,2,2
533,1,4,3,3,3,2,3,2
534,1,4,3,4,4,3,4,2
535,1,5,0,0,1,0,1,1
536,4,3,4,3,3,2,3,2
537,3,4,0,0,0,0,0,0
538,4,2,2,1,2,1,2,1
539,0,2,1,1,1,0,1,1
540,0,2,4,2,2,1,2,2
541,0,1,0,0,1,1,2,0
542,0,0,4,3,3,2,3,2
543,2,6,1,1,3,3,4,2
544,2,6,2,2,3,4,5,6
545,1,5,2,2,2,1,2,0
546,1,2,3,3,3,2,3,2
547,4,2,2,3,3,3,3,3
548,1,2,1,1,1,0,2,0
549,1,5,0,0,1,0,2,0
550,1,3,3,4,4,4,5,4
551,2,5,4,4,4,4,4,3
552,1,2,3,2,2,1,3,0
553,2,4,2,2,2,1,2,2
554,4,1,4,4,3,3,4,2
555,2,2,2,3,3,2,3,2
556,0,1,4,4,4,4,4,4
557,0,1,4,4,4,4,5,4
558,2,6,0,0,1,0,1,0
559,2,6,4,3,3,2,3,3
560,0,3,4,4,3,3,3,3
561,0,4,3,4,4,4,4,4
562,4,1,4,4,4,4,4,4
563,4,1,3,3,3,2,3,0
564,3,4,3,3,3,2,3,2
565,1,1,4,3,3,2,3,2
566,1,1,2,2,2,1,3,2
567,2,2,2,2,3,2,3,2
568,4,3,3,3,4,4,4,0
569,0,3,2,2,4,4,5,11
570,2,7,2,3,3,2,3,2
571,4,1,4,4,4,4,6,3
572,3,4,1,1,1,0,2,1
573,3,4,0,0,1,0,2,0
574,4,3,0,0,0,0,0,0
575,1,5,4,4,3,2,3,3
576,1,5,4,3,3,2,3,2
577,1,6,4,4,4,4,4,0
578,3,4,1,1,1,1,2,0
579,3,4,0,0,1,0,1,0
580,4,4,2,2,3,4,4,1
581,0,1,1,2,3,3,4,5
582,2,7,1,1,1,0,2,1
583,2,6,2,3,4,4,5,3
584,2,6,2,3,4,4,5,11
585,1,5,1,1,3,2,4,0
586,4,1,1,0,1,0,1,0
587,4,3,4,2,2,1,3,2
588,4,3,3,4,3,2,3,2
589,1,4,0,0,1,0,2,0
590,1,4,4,4,3,3,3,3
591,4,3,2,3,3,3,3,0
592,4,2,4,4,3,3,4,2
593,0,2,4,3,3,2,3,2
594,4,3,1,1,2,2,3,0
595,3,2,1,1,2,2,3,5
596,0,1,4,2,2,1,2,1
597,2,4,3,3,3,2,3,2
598,1,5,2,1,2,2,3,0
599,2,2,0,0,1,0,1,0
600,2,2,0,0,0,0,0,0
601,3,2,0,0,0,0,0,0
602,4,1,4,4,4,4,4,3
603,4,3,4,1,2,1,3,0
604,4,4,2,2,3,3,4,1
605,4,3,1,1,2,1,2,0
606,4,3,0,1,2,1,2,0
607,4,3,1,1,2,2,3,12
608,2,6,1,0,1,0,1,1
609,1,5,4,3,3,2,3,1
610,3,1,4,4,3,2,3,2
611,4,1,1,1,3,2,3,7
612,4,1,1,2,3,4,4,8
613,4,2,2,3,3,4,5,12
614,1,1,4,3,3,3,4,3
615,0,2,3,2,3,2,3,1
616,0,2,3,3,3,2,3,2
617,1,5,1,1,1,0,2,1
618,1,5,4,4,3,3,4,2
619,2,6,4,4,3,2,3,3
620,0,3,2,3,4,4,4,12
621,3,3,0,0,1,0,1,0
622,2,1,2,3,4,4,4,12
623,4,1,3,4,4,4,5,4
624,0,4,0,0,1,0,2,0
625,0,1,4,4,4,4,5,4
626,3,2,1,1,2,1,2,0
627,0,1,4,2,3,2,4,4
628,0,1,4,3,3,3,4,2
629,0,3,1,1,1,0,2,0
630,4,3,3,2,2,1,2,1
631,0,2,1,1,3,3,4,14
632,3,4,1,1,1,0,2,0
633,3,4,4,4,3,2,3,2
634,2,1,1,2,3,3,4,0
635,4,3,1,1,1,0,2,0
636,1,4,3,4,4,4,5,5
637,0,1,1,2,3,4,4,9
638,0,1,1,1,3,3,4,0
639,2,6,1,2,3,4,5,7
640,2,6,2,2,3,4,5,7
641,3,4,1,1,1,0,2,1
642,0,1,2,2,3,3,4,9
643,4,2,4,2,2,1,2,2
644,4,1,0,1,2,1,3,11
645,4,1,3,4,4,4,5,4
646,4,1,0,0,1,0,1,0
647,4,1,1,1,2,1,3,0
648,4,1,3,4,4,3,4,3
649,3,4,3,2,2,1,2,1
650,3,4,3,3,3,2,3,2
651,3,4,0,0,1,0,1,0
652,4,2,0,0,1,0,1,0
653,1,2,4,3,3,3,3,2
654,1,2,3,3,4,3,4,4
655,2,4,2,4,3,2,3,3
656,4,1,3,4,4,4,5,0
657,4,1,3,4,3,2,3,3
658,2,2,0,0,0,0,0,0
659,2,2,1,0,1,0,1,0
660,0,3,0,0,0,0,1,0
661,3,3,0,1,2,1,3,2
662,3,6,4,4,3,3,3,3
663,2,6,3,3,3,3,3,2
664,4,3,3,1,3,2,3,0
665,4,3,0,0,1,0,1,0
666,1,1,0,0,1,0,2,0
667,2,1,4,4,3,3,4,2
668,4,3,4,2,2,1,2,1
669,4,1,2,3,3,2,3,2
670,0,3,2,3,3,4,4,6
671,3,3,0,0,1,0,2,0
672,2,4,0,0,1,0,1,0
673,2,6,0,0,1,0,2,0
674,2,6,3,2,3,3,5,1
675,1,4,1,0,1,0,1,0
676,1,4,3,4,4,4,5,1
677,1,4,0,0,1,1,2,0
678,0,2,2,3,4,4,5,10
679,3,4,1,0,1,0,1,0
680,3,4,4,4,4,4,4,3
681,4,4,0,1,2,2,3,8
682,0,4,2,2,3,3,4,0
683,0,2,2,3,2,1,2,3
684,4,2,4,3,3,2,3,1
685,4,3,4,4,3,3,4,3
686,4,3,4,4,4,3,4,4
687,4,3,4,2,3,2,3,2
688,2,6,2,3,4,4,5,6
689,1,5,1,2,3,4,4,10
690,3,3,3,2,2,1,2,0
691,2,1,2,3,4,4,5,3
692,4,1,4,3,3,2,3,2
693,4,1,4,4,1,3,2,1
694,4,4,1,2,3,4,4,7
695,0,4,4,4,4,3,3,0
696,0,4,2,2,3,4,6,0
697,1,2,1,1,1,0,2,0
698,1,4,3,3,3,4,4,0
699,3,2,0,0,1,0,1,0
700,1,3,2,2,3,4,4,12
701,2,4,3,2,3,2,3,3
702,0,4,1,2,3,4,4,7
703,1,5,1,2,3,4,4,7
704,4,3,2,3,3,3,3,3
705,2,3,2,3,4,4,4,4
706,2,7,0,0,1,0,1,0
707,0,2,2,3,4,4,5,0
708,0,4,2,1,3,3,4,0
709,0,3,0,0,1,0,1,0
710,2,4,3,2,3,2,3,3
711,4,2,4,3,4,4,5,0
712,4,3,1,1,1,0,1,0
713,4,1,4,4,3,2,3,2
714,4,1,4,3,3,2,3,2
715,0,3,2,2,3,4,4,4
716,3,5,0,0,1,0,2,0
717,3,4,0,0,0,0,1,0
718,4,3,2,4,4,3,4,4
719,2,1,4,3,3,2,3,0
720,2,1,0,1,2,2,3,8
721,1,5,0,0,1,0,2,0
722,0,3,3,4,3,3,4,3
723,0,1,4,3,4,4,5,0
724,1,4,3,2,2,1,2,1
725,1,4,4,3,3,3,3,2
726,3,3,0,0,1,0,1,0
727,4,2,2,1,2,1,2,1
728,4,2,3,3,3,2,3,3
729,0,1,2,4,4,4,5,4
730,0,1,3,4,4,4,5,4
731,3,2,3,3,3,4,5,14
732,2,7,0,0,1,1,2,0
733,0,1,0,0,1,0,1,0
734,2,6,1,2,3,4,4,11
735,1,5,4,4,3,3,3,0
736,4,3,3,3,3,3,4,3
737,4,4,4,3,3,3,4,1
738,4,3,0,0,0,0,1,0
739,4,2,3,1,2,1,2,1
740,0,2,4,3,3,1,3,2
741,1,4,2,3,3,2,3,2
742,4,1,1,1,3,3,4,13
743,4,1,2,3,4,4,5,5
744,0,2,1,2,3,3,4,8
745,0,5,0,0,1,0,1,0
746,2,5,1,2,4,4,5,10
747,1,5,3,2,2,1,2,0
748,4,4,0,0,0,0,0,0
749,2,2,2,3,3,2,3,3
750,2,2,0,0,1,0,1,0
751,2,2,3,4,3,2,3,3
752,4,1,2,1,2,1,2,1
753,4,1,3,2,3,2,3,1
754,4,1,4,2,2,2,3,1
755,3,3,2,2,3,3,4,0
756,1,5,2,4,3,2,3,3
757,2,6,4,3,3,2,3,3
758,0,2,2,3,4,4,4,4
759,4,3,4,4,3,3,4,2
760,2,3,2,4,4,4,5,4
761,2,3,4,2,2,1,3,2
762,2,3,1,1,1,1,2,0
763,4,1,2,4,4,4,5,5
764,4,1,4,3,4,4,6,4
765,3,4,0,0,1,0,2,0
766,3,4,0,0,0,0,0,0
767,3,3,1,1,2,2,3,0
768,3,2,1,1,2,1,2,0
769,0,1,2,3,3,4,4,2
770,0,3,2,4,3,3,3,2
771,4,3,2,3,3,2,3,2
772,0,3,4,4,3,2,3,3
