,alpha_kmeans,delta_kmeans,u_kmeans,g_kmeans,r_kmeans,i_kmeans,z_kmeans,redshift_kmeans
116,9,2,6,9,11,11,9,10
117,5,8,8,9,11,10,9,0
118,8,3,13,13,12,9,7,3
119,9,1,9,13,16,15,11,6
120,1,2,12,13,12,10,8,3
121,7,4,7,8,9,9,7,0
122,2,6,9,13,12,10,7,4
123,8,3,12,17,15,12,8,4
124,8,3,9,13,14,11,8,5
125,4,3,2,4,6,5,5,6
126,4,3,3,3,4,3,3,0
127,0,3,9,10,8,7,5,2
128,9,1,7,8,7,6,5,1
129,8,1,5,6,7,6,5,1
130,9,1,12,14,14,11,9,3
131,4,4,3,3,3,2,2,0
132,4,4,2,5,7,6,4,2
133,7,8,7,8,7,5,4,2
134,6,1,15,11,10,7,5,3
135,6,1,9,11,9,8,6,2
136,0,3,10,12,12,9,7,3
137,0,3,10,11,10,7,5,3
138,1,1,9,14,18,15,11,5
139,4,8,8,7,7,5,4,2
140,4,3,3,4,5,4,3,0
141,0,2,9,12,16,15,11,10
142,7,3,8,7,6,3,2,0
143,3,1,10,13,13,9,7,4
144,4,1,4,4,5,4,3,1
145,2,4,13,12,9,7,6,3
146,3,5,4,5,6,5,4,0
147,4,4,13,12,11,6,4,0
148,6,1,14,12,11,9,8,2
149,6,1,5,6,5,4,3,1
150,0,3,12,14,12,10,8,3
151,7,5,1,1,2,1,1,0
152,7,4,12,10,9,7,6,2
153,8,3,14,14,13,9,7,4
154,5,8,5,8,11,10,9,8
155,3,7,12,11,11,10,8,0
156,9,3,10,12,11,9,7,4
157,9,3,13,14,14,10,8,3
158,9,3,15,14,13,10,8,3
159,4,1,8,11,14,14,10,0
160,8,3,9,15,15,12,9,4
161,1,2,3,4,3,2,1,1
162,3,6,9,13,14,10,8,4
163,2,4,4,5,5,4,3,1
164,3,6,3,3,2,1,1,1
165,2,4,13,14,13,10,7,4
166,3,2,9,13,13,9,6,0
167,0,0,15,13,12,9,7,4
168,0,0,7,9,8,6,5,2
169,9,1,9,12,15,15,13,3
170,6,2,3,4,5,5,4,0
171,4,4,6,7,10,9,8,10
172,2,4,5,8,10,10,8,9
173,8,3,7,11,12,10,8,3
174,0,3,5,5,5,4,3,1
175,0,0,12,11,12,10,9,4
176,9,1,9,12,11,9,8,3
177,9,1,9,13,11,8,7,3
178,5,2,5,5,4,3,2,1
179,5,2,13,13,11,9,6,3
180,8,3,8,6,6,4,3,1
181,8,3,10,11,11,9,7,0
182,8,3,13,13,13,10,8,4
183,8,3,9,9,8,6,5,2
184,9,3,7,10,10,7,4,0
185,0,2,6,6,5,3,2,1
186,8,2,10,15,13,10,8,4
187,1,1,10,17,19,15,13,3
188,7,3,5,6,8,8,7,0
189,7,3,5,7,8,7,7,0
190,4,4,9,14,16,14,12,5
191,0,1,11,11,10,8,6,3
192,7,3,8,13,12,9,7,4
193,3,5,9,9,8,6,5,2
194,9,3,8,12,12,9,7,3
195,7,4,2,1,1,1,0,1
196,7,3,3,4,4,3,3,0
197,7,4,5,4,4,3,2,1
198,4,1,6,7,9,9,8,0
199,5,1,0,0,0,0,0,0
200,7,4,2,1,2,1,1,0
201,7,4,7,6,6,4,3,1
202,0,0,3,3,2,2,1,1
203,5,8,5,8,11,10,9,8
204,5,8,7,11,15,15,11,9
205,8,3,8,11,12,10,8,4
206,9,2,8,11,14,14,11,11
207,8,2,9,11,10,7,6,3
208,0,2,14,16,14,10,7,4
209,8,1,5,6,7,6,6,1
210,7,4,11,12,12,10,8,3
211,7,3,2,2,3,2,2,0
212,6,5,3,2,2,1,1,1
213,6,5,5,5,5,4,3,1
214,9,5,3,4,6,5,4,0
215,3,6,9,16,15,12,9,4
216,9,4,11,13,12,9,7,3
217,3,7,13,13,11,9,7,3
218,2,5,9,10,9,7,5,2
219,8,1,9,12,16,15,12,9
220,6,7,12,15,15,11,9,4
221,0,0,7,9,12,12,10,11
222,4,5,9,12,12,10,8,2
223,3,7,6,6,8,7,6,0
224,7,7,5,8,10,9,9,6
225,2,2,6,4,3,3,2,0
226,3,3,12,11,14,14,11,1
227,1,1,12,15,16,15,12,5
228,0,1,10,16,18,15,11,4
229,1,4,2,2,2,2,2,0
230,6,1,13,12,11,9,7,3
231,0,3,13,12,11,9,7,3
232,9,4,7,8,11,11,9,4
233,9,3,3,4,6,5,5,0
234,6,2,7,9,12,12,10,0
235,0,3,8,12,15,13,10,8
236,4,8,3,4,5,4,3,0
237,4,8,3,4,5,4,4,0
238,6,4,4,4,4,3,2,1
239,8,3,7,10,13,13,12,0
240,1,1,11,9,8,6,4,2
241,3,5,12,16,15,12,9,6
242,3,5,7,12,15,13,9,5
243,3,5,8,10,15,14,13,4
244,3,4,5,4,5,3,3,1
245,4,4,4,7,8,8,8,7
246,4,4,13,14,13,8,5,0
247,4,4,4,7,10,11,11,0
248,0,2,9,9,8,6,5,2
249,9,3,15,10,8,7,5,2
250,7,4,5,5,5,4,3,1
251,9,2,9,11,14,14,11,11
252,9,3,6,7,6,4,3,1
253,7,4,1,2,3,3,3,0
254,2,4,9,11,11,9,7,3
255,8,3,12,17,16,12,9,4
256,9,4,14,11,10,8,6,3
257,3,6,11,14,16,12,9,4
258,0,3,4,6,7,7,6,0
259,6,1,4,7,9,8,8,7
260,6,7,9,14,12,9,7,4
261,2,6,10,13,13,10,8,3
262,3,3,10,14,16,14,11,5
263,5,5,10,9,8,7,5,2
264,3,6,11,16,16,12,8,0
265,4,8,9,10,9,7,6,3
266,4,1,8,11,12,9,8,3
267,7,4,7,6,6,4,3,1
268,6,5,9,8,7,5,4,2
269,4,4,5,5,5,4,3,1
270,4,4,4,4,4,3,3,0
271,9,1,10,12,14,11,9,5
272,9,1,9,13,17,12,11,5
273,1,4,13,12,11,7,5,0
274,7,5,6,6,5,4,3,1
275,6,2,8,10,14,13,11,10
276,9,1,6,10,12,12,10,7
277,0,1,7,11,12,9,7,4
278,0,1,4,6,8,7,6,1
279,9,2,14,12,13,13,10,0
280,4,3,9,13,12,9,8,3
281,4,8,14,16,17,12,9,4
282,9,3,12,10,9,7,5,2
283,9,3,8,10,10,8,8,2
284,0,3,10,11,12,10,8,2
285,3,3,4,4,6,5,4,0
286,7,8,5,4,4,3,2,1
287,3,7,11,13,11,8,7,3
288,0,1,8,13,15,14,11,11
289,0,2,8,11,13,12,10,6
290,7,5,1,0,0,0,0,0
291,9,2,9,8,7,5,4,2
292,0,0,4,4,3,2,2,1
293,5,8,7,11,13,13,10,7
294,2,6,14,15,14,11,10,3
295,3,2,10,12,11,9,7,3
296,2,1,8,9,9,7,5,2
297,2,1,12,11,9,7,5,3
298,2,1,13,10,10,8,6,2
299,3,1,14,10,9,7,5,3
300,9,1,0,1,1,1,0,0
301,7,4,10,13,13,9,7,4
302,7,4,5,4,3,2,2,1
303,6,5,2,2,1,1,0,1
304,2,4,13,17,16,14,13,3
305,5,1,7,10,13,13,10,10
306,8,3,9,15,13,9,7,3
307,8,2,10,11,9,7,6,2
308,6,8,13,16,18,13,9,6
309,0,5,4,7,9,9,9,7
310,9,5,3,6,8,7,6,8
311,2,4,3,3,3,2,1,1
312,3,6,9,14,14,10,8,4
313,3,6,13,12,12,10,8,3
314,3,7,3,4,4,3,3,1
315,1,1,9,14,15,14,11,5
316,1,1,9,14,16,14,11,5
317,3,7,10,10,9,7,5,3
318,2,2,3,3,4,3,3,0
319,2,2,4,5,6,5,5,0
320,3,9,5,7,9,8,7,9
321,3,9,6,7,9,8,7,0
322,0,3,4,5,5,4,3,1
323,4,5,10,12,12,9,8,3
324,2,4,7,12,13,9,8,4
325,0,3,7,10,11,9,8,4
326,6,8,8,11,11,9,8,4
327,7,4,8,7,7,5,4,1
328,8,1,7,11,14,13,10,9
329,9,3,3,3,4,4,3,0
330,9,3,9,15,16,12,9,4
331,6,4,7,10,10,8,6,3
332,4,9,3,5,5,4,3,1
333,1,1,5,7,9,9,7,10
334,9,2,2,3,4,4,3,0
335,3,4,11,6,5,4,3,1
336,3,4,12,10,10,8,6,0
337,3,5,10,14,19,15,13,5
338,2,4,12,13,13,10,8,4
339,9,5,11,9,9,7,6,0
340,8,3,12,16,16,12,9,5
341,9,4,9,9,8,6,5,2
342,2,6,9,11,12,10,8,4
343,9,5,8,9,12,11,9,0
344,0,2,15,12,10,8,6,2
345,0,2,14,12,12,9,7,3
346,8,2,15,12,11,9,7,3
347,1,1,9,13,14,12,10,5
348,7,4,8,8,7,5,4,2
349,5,1,6,8,11,11,9,10
350,8,3,11,11,11,9,7,0
351,9,1,11,14,15,13,10,5
352,8,3,10,16,15,10,8,4
353,9,2,15,8,7,5,4,2
354,0,2,13,11,9,7,6,2
355,1,2,12,9,8,6,5,2
356,8,1,5,7,8,6,6,1
357,7,4,2,2,2,2,1,1
358,3,1,3,3,4,3,3,1
359,7,7,9,13,16,15,13,7
360,2,6,7,6,6,4,3,1
361,5,2,5,4,4,3,2,1
362,5,2,5,4,4,3,2,1
363,4,5,10,10,9,7,5,2
364,4,5,11,12,12,9,7,3
365,4,5,13,14,15,11,9,4
366,4,4,9,14,16,15,11,5
367,9,1,9,10,9,7,6,2
368,9,1,6,10,12,12,10,7
369,0,3,3,3,3,2,2,1
370,0,3,8,8,8,6,5,2
371,2,1,4,4,4,3,2,1
372,9,3,8,11,13,12,10,4
373,6,6,1,1,2,2,1,0
374,7,3,6,9,11,11,9,6
375,0,1,7,10,12,12,10,9
376,0,1,9,13,16,15,12,8
377,0,1,6,9,13,12,10,9
378,6,2,12,15,16,7,4,0
379,4,9,2,2,1,1,1,0
380,3,4,10,17,17,14,12,8
381,7,6,5,5,6,6,5,0
382,3,7,14,13,12,10,7,3
383,3,8,6,6,5,4,3,1
384,3,5,8,14,16,12,9,5
385,9,3,11,11,10,7,6,3
386,6,5,2,1,1,0,0,1
387,9,5,13,9,10,9,9,0
388,8,2,4,3,2,1,1,1
389,0,2,13,16,14,11,8,5
390,8,2,4,3,3,2,1,1
391,9,3,11,13,12,9,7,4
392,9,1,13,15,17,13,11,8
393,1,2,8,10,8,7,5,2
394,0,2,9,12,15,14,11,0
395,0,2,9,11,14,13,11,10
396,3,1,8,12,12,10,7,3
397,2,4,15,12,12,10,8,0
398,9,4,8,9,8,6,5,2
399,4,1,8,12,11,8,6,4
400,5,2,6,7,6,5,3,1
401,4,2,4,3,3,2,1,1
402,5,2,5,5,5,4,3,1
403,4,5,9,12,11,9,8,3
404,3,7,7,9,12,11,9,10
405,3,7,10,10,9,7,5,0
406,3,3,10,13,15,13,10,5
407,4,3,10,13,12,10,8,4
408,4,3,5,7,8,8,7,0
409,3,1,8,10,9,7,6,2
410,9,1,12,4,4,5,4,0
411,8,1,4,4,4,3,3,1
412,7,4,11,11,9,8,6,2
413,7,4,6,6,5,4,3,1
414,9,3,9,15,17,12,9,5
415,4,3,13,13,12,8,5,0
416,3,4,10,12,15,14,11,5
417,1,1,9,15,15,12,9,5
418,1,5,3,4,4,4,3,0
419,4,7,5,5,4,3,2,1
420,2,4,10,12,12,10,8,2
421,0,4,10,10,10,8,7,1
422,8,4,11,13,12,10,8,3
423,0,1,12,17,17,14,13,7
424,1,1,9,9,9,7,5,3
425,4,8,13,15,17,14,9,6
426,3,7,4,4,4,3,2,0
427,4,8,11,12,10,8,7,3
428,4,8,5,5,5,4,3,1
429,4,8,8,7,6,5,4,2
430,5,8,9,15,15,11,8,4
431,5,8,6,5,5,4,3,1
432,4,2,13,14,12,10,8,3
433,3,5,13,14,17,14,10,6
434,3,5,12,16,15,12,9,3
435,4,4,9,10,13,13,11,0
436,9,2,11,11,12,10,8,3
437,9,2,12,10,9,7,5,2
438,0,2,13,10,9,7,5,3
439,8,3,10,11,11,9,7,2
440,0,2,7,7,6,5,4,2
441,8,1,11,15,17,14,11,4
442,5,7,3,3,4,3,2,0
443,8,3,8,16,14,11,8,4
444,9,2,9,11,14,13,10,4
445,9,2,8,9,11,10,9,0
446,0,0,6,6,6,4,3,1
447,3,7,8,12,15,15,11,10
448,2,1,9,11,9,7,6,0
449,2,4,6,9,11,11,10,6
450,1,4,4,3,3,2,2,0
451,6,6,11,15,16,12,8,5
452,8,3,12,10,8,7,5,2
453,2,4,4,7,8,8,7,8
454,9,3,8,11,10,7,6,3
455,9,3,14,15,17,13,10,4
456,0,3,13,14,12,10,7,3
457,5,2,9,13,11,8,6,4
458,5,2,3,3,3,2,1,1
459,9,1,10,15,17,16,12,5
460,0,0,9,9,8,6,5,2
461,6,1,11,13,12,9,7,4
462,9,1,7,11,12,9,7,4
463,4,4,10,14,16,13,11,5
464,2,3,12,8,8,7,6,0
465,5,5,1,1,1,1,1,0
466,0,3,8,11,15,14,12,0
467,7,9,6,7,9,8,7,0
468,7,8,10,14,14,11,8,4
469,6,9,11,15,13,10,8,4
470,6,8,7,6,5,4,3,1
471,4,3,3,4,5,5,4,0
472,7,2,1,3,5,5,4,4
473,4,7,10,11,10,8,7,3
474,4,7,9,11,12,12,10,2
475,4,8,4,4,4,3,2,1
476,9,1,9,15,17,14,13,5
477,7,4,13,14,13,9,7,4
478,0,1,9,11,15,15,11,10
479,0,1,10,11,15,15,11,11
480,3,5,8,8,8,6,5,2
481,3,5,11,15,12,8,7,4
482,9,1,10,14,17,14,12,5
483,0,2,14,16,16,12,8,4
484,6,1,14,14,13,10,8,4
485,0,3,10,12,11,9,7,3
486,5,7,3,3,4,3,2,1
487,5,7,7,8,7,5,4,2
488,5,7,12,10,9,7,5,3
489,5,7,6,6,6,4,3,1
490,1,4,3,2,3,2,2,0
491,9,1,13,15,14,11,8,0
492,9,1,12,13,16,13,11,5
493,6,5,3,4,5,4,4,1
494,9,3,11,11,11,9,7,2
495,0,5,6,8,10,10,8,4
496,3,6,14,16,14,11,8,5
497,9,4,9,14,16,12,9,5
498,2,5,4,5,6,5,4,1
499,0,2,10,9,10,9,8,0
500,0,2,4,7,9,8,7,5
501,4,6,5,5,6,5,4,0
502,0,0,6,10,13,13,10,7
503,9,3,1,1,1,1,1,0
504,2,6,10,11,10,7,6,3
505,7,4,6,8,9,8,7,0
506,5,2,9,12,11,8,7,3
507,4,2,3,3,3,2,1,1
508,7,3,5,5,5,3,2,1
509,7,3,14,13,12,10,8,3
510,0,0,7,8,7,5,4,2
511,6,3,2,5,7,6,5,8
512,3,7,8,10,9,7,5,3
513,9,3,1,0,0,0,0,0
514,8,3,13,15,15,12,9,4
515,6,5,4,4,4,3,2,1
516,0,2,10,13,12,10,8,3
517,0,3,4,4,4,3,2,1
518,0,3,8,16,14,10,8,4
519,6,7,5,8,10,10,9,9
520,3,7,12,13,12,10,8,3
521,3,7,9,8,7,5,4,2
522,3,7,9,14,14,11,9,3
523,3,7,8,11,11,8,6,3
524,7,4,12,11,11,9,8,1
525,3,7,6,6,5,3,2,1
526,9,3,13,14,13,10,8,4
527,9,3,8,11,9,7,5,3
528,6,1,3,6,8,8,7,5
529,2,4,11,11,9,7,5,2
530,2,4,7,6,6,4,3,1
531,3,4,10,12,11,9,7,3
532,3,4,7,9,8,6,5,2
533,3,5,11,11,10,8,6,3
534,2,5,11,14,15,11,8,3
535,3,6,3,3,3,2,2,1
536,8,3,12,12,10,8,6,2
537,6,5,1,0,0,0,0,0
538,9,2,9,7,7,5,4,1
539,0,2,5,5,5,3,2,1
540,0,2,12,9,8,6,5,2
541,0,1,3,4,6,5,4,0
542,0,0,13,11,10,8,6,3
543,4,8,5,8,11,10,8,3
544,4,8,7,11,14,13,11,7
545,3,7,9,9,8,6,4,0
546,2,1,11,13,11,9,7,3
547,8,2,9,11,12,10,8,4
548,3,2,6,6,5,4,3,1
549,2,6,3,4,5,4,3,0
550,3,3,9,14,16,14,11,5
551,4,7,14,16,16,12,9,4
552,2,2,10,10,9,7,5,0
553,5,5,9,9,8,6,5,2
554,8,1,14,13,13,10,8,3
555,4,2,8,12,11,9,7,3
556,1,1,14,14,16,12,10,5
557,1,1,15,13,15,15,12,5
558,4,8,4,4,4,3,2,1
559,4,8,12,12,10,7,6,4
560,0,3,14,14,13,10,8,4
561,0,4,9,17,16,12,9,5
562,9,1,12,13,15,12,9,5
563,9,1,9,11,12,9,7,0
564,7,5,10,12,11,8,7,3
565,2,1,12,13,11,9,7,3
566,3,1,7,10,9,7,5,2
567,4,2,7,10,11,8,7,3
568,9,3,9,11,15,14,11,0
569,0,3,8,11,15,14,11,9
570,4,9,9,12,11,8,6,3
571,8,1,12,15,18,14,13,4
572,6,5,6,6,5,4,3,1
573,7,4,4,5,5,4,3,1
574,7,3,2,1,1,0,0,0
575,3,7,14,13,12,9,7,4
576,3,7,14,11,10,8,6,3
577,3,8,11,16,17,13,9,0
578,6,5,5,5,5,4,3,1
579,7,4,4,3,3,2,2,1
580,9,5,8,11,13,15,10,2
581,0,1,7,10,11,12,10,6
582,4,9,6,6,5,4,3,1
583,4,8,8,11,15,14,11,4
584,5,8,8,12,16,15,11,9
585,3,7,6,8,9,9,9,0
586,8,1,4,4,3,2,2,1
587,8,3,11,10,9,7,6,2
588,8,3,11,13,11,9,7,3
589,2,5,2,3,4,3,3,0
590,3,5,12,14,13,10,8,4
591,8,3,9,12,12,9,7,0
592,9,2,11,13,12,10,8,3
593,0,2,13,11,10,8,6,3
594,7,4,5,7,8,7,7,0
595,7,1,5,7,8,8,7,5
596,1,1,13,9,8,6,5,2
597,5,5,10,12,12,9,7,3
598,2,6,8,8,9,8,7,0
599,5,2,3,2,2,1,1,0
600,5,2,1,1,1,1,0,0
601,6,2,2,1,1,0,0,0
602,9,1,13,15,15,12,9,4
603,9,3,12,7,8,7,6,0
604,9,4,7,10,12,12,9,2
605,9,4,6,6,6,5,4,0
606,9,3,4,5,7,6,5,0
607,9,3,5,7,9,8,7,10
608,4,8,5,5,4,3,2,1
609,3,7,14,11,10,8,6,2
610,6,1,12,13,11,9,8,3
611,8,1,6,8,10,9,8,7
612,9,1,6,10,13,12,10,8
613,9,2,8,11,14,13,11,10
614,3,1,14,12,12,10,8,3
615,0,2,9,10,10,8,6,2
616,0,2,10,12,11,8,6,3
617,3,7,4,5,5,4,3,2
618,3,7,12,13,13,11,8,3
619,4,7,15,13,11,8,7,3
620,0,3,7,11,15,14,11,10
621,6,3,4,5,4,3,2,1
622,5,1,8,11,14,14,10,10
623,9,1,10,14,16,14,11,5
624,1,4,2,2,4,4,3,0
625,0,1,12,13,16,15,12,5
626,7,1,5,6,7,6,5,0
627,1,1,14,9,11,9,9,5
628,0,0,15,11,12,10,9,3
629,0,3,6,6,6,4,3,1
630,8,3,11,9,8,6,5,2
631,0,2,6,8,10,10,9,11
632,7,5,6,5,5,4,3,1
633,6,5,12,13,12,9,7,3
634,5,1,7,9,11,11,9,0
635,7,3,6,6,5,4,3,1
636,3,4,10,15,16,14,11,5
637,0,1,6,10,12,12,10,8
638,0,1,6,8,10,10,9,0
639,4,8,6,10,13,13,11,7
640,5,8,7,11,14,13,11,7
641,7,4,6,6,5,4,3,1
642,0,1,8,10,12,11,9,8
643,9,2,13,9,8,6,5,2
644,9,1,4,6,8,7,6,9
645,8,1,10,17,17,15,13,5
646,8,1,4,3,3,2,1,1
647,8,1,5,7,8,7,6,1
648,8,1,9,16,16,11,9,4
649,6,5,10,9,8,6,5,2
650,7,4,9,12,11,9,7,3
651,6,5,3,2,2,2,1,0
652,8,2,4,3,3,2,2,0
653,3,2,15,12,12,10,8,3
654,3,3,9,13,14,12,10,5
655,4,5,8,13,11,8,6,3
656,9,1,10,14,16,15,12,0
657,9,1,11,14,12,9,7,3
658,4,2,1,1,0,0,0,0
659,4,2,5,5,4,3,2,1
660,1,3,2,2,1,1,1,0
661,7,3,3,6,8,7,6,2
662,6,8,11,13,13,10,8,4
663,4,8,10,12,12,10,8,3
664,9,3,10,8,9,8,7,0
665,7,3,1,2,3,2,2,0
666,3,1,3,4,4,3,3,1
667,4,1,14,13,14,10,9,3
668,9,3,15,9,8,6,5,2
669,9,1,8,12,11,9,7,3
670,0,3,7,11,13,13,11,6
671,6,4,3,4,5,4,3,0
672,5,4,4,4,4,3,2,1
673,4,8,2,3,5,4,3,0
674,4,8,9,10,12,11,11,2
675,3,4,5,4,4,3,2,1
676,3,5,10,14,16,15,11,2
677,3,5,3,4,5,4,4,0
678,0,2,9,12,16,15,11,9
679,7,4,5,5,5,3,2,1
680,6,5,11,15,16,12,9,4
681,9,5,4,7,9,8,7,7
682,0,5,9,9,10,10,9,0
683,0,2,9,12,9,6,4,4
684,8,2,11,11,10,8,6,2
685,8,3,15,14,13,10,8,3
686,9,3,15,16,15,11,9,5
687,9,3,12,11,9,7,6,3
688,4,8,8,12,15,14,11,6
689,3,7,6,9,13,12,11,9
690,6,3,11,9,9,6,4,0
691,4,1,9,12,16,15,12,3
692,8,1,13,12,11,8,6,3
693,9,1,12,13,5,11,3,1
694,9,5,6,10,12,12,10,7
695,0,5,12,14,15,11,8,0
696,0,5,7,10,14,14,13,0
697,3,2,5,5,5,4,3,1
698,2,4,10,12,14,13,10,0
699,7,1,3,3,3,3,2,0
700,3,3,7,10,13,13,10,10
701,5,5,10,10,11,9,7,4
702,2,4,6,9,12,12,10,7
703,2,6,7,10,13,12,10,7
704,9,3,9,12,12,10,8,4
705,4,4,8,12,15,13,10,4
706,5,9,2,3,4,3,2,0
707,0,2,9,11,15,14,12,0
708,1,5,7,8,10,10,9,0
709,1,4,2,2,3,2,2,0
710,5,4,9,11,10,8,6,3
711,9,2,14,12,15,13,11,0
712,7,3,6,6,5,2,1,0
713,9,1,12,13,12,9,8,3
714,9,1,11,12,11,9,7,3
715,0,3,7,11,14,13,11,5
716,6,7,3,3,4,4,3,0
717,7,5,1,1,1,1,1,0
718,9,4,9,18,17,12,9,5
719,5,1,12,12,12,9,7,0
720,5,1,4,7,9,8,7,7
721,2,6,2,3,4,3,3,1
722,0,3,10,14,14,10,8,4
723,0,1,11,11,14,14,11,0
724,3,4,9,9,7,6,4,2
725,3,5,13,13,12,10,7,3
726,7,4,4,4,4,3,2,1
727,9,2,8,7,6,5,4,2
728,8,2,10,12,12,9,7,3
729,0,1,8,14,17,14,12,5
730,0,1,10,13,16,14,11,5
731,6,2,10,11,14,14,12,11
732,4,9,4,5,5,4,4,1
733,1,1,4,3,3,2,2,0
734,4,8,6,9,13,12,10,10
735,3,7,12,13,13,10,7,0
736,9,3,10,11,13,10,10,4
737,9,4,13,11,12,10,8,2
738,7,4,1,1,1,1,1,1
739,9,2,11,8,7,6,4,2
740,0,2,12,11,9,7,5,3
741,2,4,9,12,10,8,6,3
742,8,1,6,8,11,11,9,11
743,8,1,9,12,15,14,12,6
744,0,2,6,10,12,12,10,8
745,2,6,4,4,4,3,2,0
746,5,6,7,11,14,13,11,9
747,3,6,10,10,9,6,4,0
748,9,4,0,0,0,0,0,0
749,4,2,9,12,12,9,7,3
750,5,2,4,3,3,2,2,0
751,5,2,9,13,11,8,6,3
752,9,1,8,8,7,6,4,2
753,9,1,9,10,10,8,7,2
754,9,1,12,9,9,7,6,2
755,7,3,7,9,11,11,9,0
756,3,7,8,14,13,9,7,4
757,4,8,13,12,12,9,7,3
758,0,2,8,11,14,13,11,5
759,9,3,12,14,14,11,8,3
760,4,4,9,13,16,15,12,5
761,5,4,13,10,9,7,6,2
762,5,4,6,5,5,4,3,1
763,9,1,8,13,16,15,11,6
764,9,1,15,13,16,14,13,5
765,7,4,3,4,4,4,3,1
766,7,5,1,1,0,0,0,0
767,7,3,5,7,9,8,7,0
768,6,2,6,6,6,5,5,0
769,1,1,8,12,14,12,10,3
